001_00	Thaa Siim Miim
030_00	Musa berkata: "Dan apakah (kamu akan melakukan itu) kendatipun aku tunjukkan kepadamu sesuatu (keterangan) yang nyata?"
031_00	Fir'aun berkata: "Datangkanlah sesuatu (keterangan) yang nyata itu, jika kamu adalah termasuk orang-orang yang benar".
032_00	Maka Musa melemparkan tongkatnya, lalu tiba-tiba tongkat itu (menjadi) ular yang nyata.
033_00	Dan ia menarik tangannya (dari dalam bajunya), maka tiba-tiba tangan itu jadi putih (bersinar) bagi orang-orang yang melihatnya.
034_00	Fir'aun berkata kepada pembesar-pembesar yang berada sekelilingnya: Sesungguhnya Musa ini benar-benar seorang ahli sihir yang pandai,
035_00	ia hendak mengusir kamu dari negerimu sendiri dengan sihirnya; maka karena itu apakah yang kamu anjurkan?"
036_00	Mereka menjawab: "Tundalah (urusan) dia dan saudaranya dan kirimkanlah ke seluruh negeri orang-orang yang akan mengumpulkan (ahli sihir),
037_00	niscaya mereka akan mendatangkan semua ahli sihir yang pandai kepadamu".
038_00	Lalu dikumpulkan ahli-ahli sihir pada waktu yang ditetapkan di hari yang maklum,
039_00	dan dikatakan kepada orang banyak: "Berkumpullah kamu sekalian.
040_00	semoga kita mengikuti ahli-ahli sihir jika mereka adalah orang-orang yang menang"
041_00	Maka tatkala ahli-ahli sihir datang, merekapun bertanya kepada Fir'aun: "Apakah kami sungguh-sungguh mendapat upah yang besar jika kami adalah orang-orang yang menang?"
042_00	Fir'aun menjawab: "Ya, kalau demikian, sesungguhnya kamu sekalian benar-benar akan menjadi orang yang didekatkan (kepadaku)".
043_00	Berkatalah Musa kepada mereka: "Lemparkanlah apa yang hendak kamu lemparkan".
044_00	Lalu mereka melemparkan tali temali dan tongkat-tongkat mereka dan berkata: "Demi kekuasaan Fir'aun, sesungguhnya kami benar-benar akan menang".
045_00	Kemudian Musa menjatuhkan tongkatnya maka tiba-tiba ia menelan benda-benda palsu yang mereka ada-adakan itu.
046_00	Maka tersungkurlah ahli-ahli sihir sambil bersujud (kepada Allah),
047_00	mereka berkata: "Kami beriman kepada Tuhan semesta alam,
048_00	(yaitu) Tuhan Musa dan Harun".
049_00	Fir'aun berkata: "Apakah kamu sekalian beriman kepada Musa sebelum aku memberi izin kepadamu?
049_01	Sesungguhnya dia benar-benar pemimpinmu yang mengajarkan sihir kepadamu maka kamu nanti pasti benar-benar akan mengetahui (akibat perbuatanmu); sesungguhnya aku akan memotong tanganmu dan kakimu dengan bersilangan dan aku akan menyalibmu semuanya".
050_00	Mereka berkata: "Tidak ada kemudharatan (bagi kami); sesungguhnya kami akan kembali kepada Tuhan kami,
051_00	sesungguhnya kami amat menginginkan bahwa Tuhan kami akan mengampuni kesalahan kami, karena kami adalah orang-orang yang pertama-tama beriman".
052_00	Dan Kami wahyukan (perintahkan) kepada Musa: "Pergilah di malam hari dengan membawa hamba-hamba-Ku (Bani Israil), karena sesungguhnya kamu sekalian akan disusuli".
053_00	Kemudian Fir'aun mengirimkan orang yang mengumpulkan (tentaranya) ke kota-kota.
054_00	(Fir'aun berkata): "Sesungguhnya mereka (Bani Israil) benar-benar golongan kecil,
055_00	dan sesungguhnya mereka membuat hal-hal yang menimbulkan amarah kita,
056_00	dan sesungguhnya kita benar-benar golongan yang selalu berjaga-jaga".
057_00	Maka Kami keluarkan Fir'aun dan kaumnya dari taman-taman dan mata air,
058_00	dan (dari) perbendaharaan dan kedudukan yang mulia,
059_00	demikianlah halnya dan Kami anugerahkan semuanya (itu) kepada Bani Israil.
060_00	Maka Fir'aun dan bala tentaranya dapat menyusuli mereka di waktu matahari terbit.
061_00	Maka setelah kedua golongan itu saling melihat, berkatalah pengikut-pengikut Musa: "Sesungguhnya kita benar-benar akan tersusul".
062_00	Musa menjawab: "Sekali-kali tidak akan tersusul; sesungguhnya Tuhanku besertaku, kelak Dia akan memberi petunjuk kepadaku".
063_00	Lalu Kami wahyukan kepada Musa: "Pukullah lautan itu dengan tongkatmu". Maka terbelahlah lautan itu dan tiap-tiap belahan adalah seperti gunung yang besar.
064_00	Dan di sanalah Kami dekatkan golongan yang lain.
065_00	Dan Kami selamatkan Musa dan orang-orang yang besertanya semuanya.
066_00	Dan Kami tenggelamkan golongan yang lain itu.
067_00	Sesungguhnya pada yang demikian itu benar-benar merupakan suatu tanda yang besar (mukjizat) dan tetapi adalah kebanyakan mereka tidak beriman.
068_00	Dan sesungguhnya Tuhanmu benar-benar Dialah Yang Maha Perkasa lagi Maha Penyayang.
069_00	Dan bacakanlah kepada mereka kisah Ibrahim.
070_00	Ketika ia berkata kepada bapaknya dan kaumnya: "Apakah yang kamu sembah?"
071_00	Mereka menjawab: "Kami menyembah berhala-berhala dan kami senantiasa tekun menyembahnya".
072_00	Berkata Ibrahim: "Apakah berhala-berhala itu mendengar (doa)mu sewaktu kamu berdoa (kepadanya)?,
073_00	atau (dapatkah) mereka memberi manfaat kepadamu atau memberi mudharat?"
074_00	Mereka menjawab: "(Bukan karena itu) sebenarnya kami mendapati nenek moyang kami berbuat demikian".
075_00	Ibrahim berkata: "Maka apakah kamu telah memperhatikan apa yang selalu kamu sembah,
076_00	kamu dan nenek moyang kamu yang dahulu?,
077_00	karena sesungguhnya apa yang kamu sembah itu adalah musuhku, kecuali Tuhan Semesta Alam,
078_00	(yaitu Tuhan) Yang telah menciptakan aku, maka Dialah yang menunjuki aku,
079_00	dan Tuhanku, Yang Dia memberi makan dan minum kepadaku,
080_00	dan apabila aku sakit, Dialah Yang menyembuhkan aku,
081_00	dan Yang akan mematikan aku, kemudian akan menghidupkan aku (kembali),
082_00	dan Yang amat kuinginkan akan mengampuni kesalahanku pada hari kiamat".
083_00	(Ibrahim berdoa): "Ya Tuhanku, berikanlah kepadaku hikmah dan masukkanlah aku ke dalam golongan orang-orang yang saleh,
084_00	dan jadikanlah aku buah tutur yang baik bagi orang-orang (yang datang) kemudian,
085_00	dan jadikanlah aku termasuk orang-orang yang mempusakai surga yang penuh kenikmatan,
086_00	dan ampunilah bapakku, karena sesungguhnya ia adalah termasuk golongan orang-orang yang sesat,
087_00	dan janganlah Engkau hinakan aku pada hari mereka dibangkitkan,
088_00	(yaitu) di hari harta dan anak-anak laki-laki tidak berguna,
089_00	kecuali orang-orang yang menghadap Allah dengan hati yang bersih,
090_00	dan (di hari itu) didekatkanlah surga kepada orang-orang yang bertakwa,
091_00	dan diperlihatkan dengan jelas neraka Jahim kepada orang-orang yang sesat",
092_00	dan dikatakan kepada mereka: "Dimanakah berhala-berhala yang dahulu kamu selalu menyembah(nya)
093_00	selain dari Allah? Dapatkah mereka menolong kamu atau menolong diri mereka sendiri?"
094_00	Maka mereka (sembahan-sembahan itu) dijungkirkan ke dalam neraka bersama-sama orang-orang yang sesat,
095_00	dan bala tentara iblis semuanya.
096_00	Mereka berkata sedang mereka bertengkar di dalam neraka:
097_00	"demi Allah: sungguh kita dahulu (di dunia) dalam kesesatan yang nyata,
098_00	karena kita mempersamakan kamu dengan Tuhan semesta alam".
099_00	Dan tiadalah yang menyesatkan kami kecuali orang-orang yang berdosa.
100_00	Maka kami tidak mempunyai pemberi syafa'at seorangpun,
101_00	dan tidak pula mempunyai teman yang akrab,
102_00	maka sekiranya kita dapat kembali sekali lagi (ke dunia) niscaya kami menjadi orang-orang yang beriman".
103_00	Sesungguhnya pada yang demikian itu benar-benar terdapat tanda-tanda (kekuasaan Allah), tetapi kebanyakan mereka tidak beriman.
104_00	Dan sesungguhnya Tuhanmu benar-benar Dialah Yang Maha Perkasa lagi Maha Penyayang.
105_00	Kaum Nuh telah mendustakan para rasul.
106_00	Ketika saudara mereka (Nuh) berkata kepada mereka: "Mengapa kamu tidak bertakwa?
107_00	Sesungguhnya aku adalah seorang rasul kepercayaan (yang diutus) kepadamu,
108_00	maka bertakwalah kepada Allah dan taatlah kepadaku.
109_00	Dan aku sekali-kali tidak minta upah kepadamu atas ajakan-ajakan itu; upahku tidak lain hanyalah dari Tuhan semesta alam.
110_00	Maka bertakwalah kepada Allah dan taatlah kepadaku".
111_00	Mereka berkata: "Apakah kami akan beriman kepadamu, padahal yang mengikuti kamu ialah orang-orang yang hina?".
112_00	Nuh menjawab: "Bagaimana aku mengetahui apa yang telah mereka kerjakan?
113_00	Perhitungan (amal perbuatan) mereka tidak lain hanyalah kepada Tuhanku, kalau kamu menyadari.
114_00	Dan aku sekali-kali tidak akan mengusir orang-orang yang beriman.
115_00	Aku (ini) tidak lain melainkan pemberi peringatan yang menjelaskan".
116_00	Mereka berkata: "Sungguh jika kamu tidak (mau) berhenti hai Nuh, niscaya benar-benar kamu akan termasuk orang-orang yang dirajam".
117_00	Nuh berkata: "Ya Tuhanku, sesungguhnya kaumku telah mendustakan aku;
118_00	maka itu adakanlah suatu keputusan antaraku dan antara mereka, dan selamatkanlah aku dan orang-orang yang mukmin besertaku".
119_00	Maka Kami selamatkan Nuh dan orang-orang yang besertanya di dalam kapal yang penuh muatan.
120_00	Kemudian sesudah itu Kami tenggelamkan orang-orang yang tinggal.
121_00	Sesungguhnya pada yang demikian itu benar-benar terdapat tanda (kekuasaan Allah), tetapi kebanyakan mereka tidak beriman.
122_00	Dan sesungguhnya Tuhanmu Dialah Yang Maha Perkasa lagi Maha Penyayang.
123_00	Kaum 'Aad telah mendustakan para rasul.
124_00	Ketika saudara mereka Hud berkata kepada mereka: "Mengapa kamu tidak bertakwa?
125_00	Sesungguhnya aku adalah seorang rasul kepercayaan (yang diutus) kepadamu,
126_00	maka bertakwalah kepada Allah dan taatlah kepadaku.
127_00	Dan sekali-kali aku tidak minta upah kepadamu atas ajakan itu; upahku tidak lain hanyalah dari Tuhan semesta alam.
128_00	Apakah kamu mendirikan pada tiap-tiap tanah tinggi bangunan untuk bermain-main,
129_00	dan kamu membuat benteng-benteng dengan maksud supaya kamu kekal (di dunia)?
130_00	Dan apabila kamu menyiksa, maka kamu menyiksa sebagai orang-orang kejam dan bengis.
131_00	Maka bertakwalah kepada Allah dan taatlah kepadaku.
132_00	Dan bertakwalah kepada Allah yang telah menganugerahkan kepadamu apa yang kamu ketahui.
133_00	Dia telah menganugerahkan kepadamu binatang-binatang ternak, dan anak-anak,
134_00	dan kebun-kebun dan mata air,
135_00	sesungguhnya aku takut kamu akan ditimpa azab hari yang besar".
136_00	Mereka menjawab: "Adalah sama saja bagi kami, apakah kamu memberi nasehat atau tidak memberi nasehat,
137_00	(agama kami) ini tidak lain hanyalah adat kebiasaan orang dahulu.
138_00	dan kami sekali-kali tidak akan di "azab".
139_00	Maka mereka mendustakan Hud, lalu Kami binasakan mereka. Sesungguhnya pada yang demikian itu benar-benar terdapat tanda (kekuasaan Allah), tetapi kebanyakan mereka tidak beriman.
140_00	Dan sesungguhnya Tuhanmu, Dialah Yang Maha Perkasa lagi Maha Penyayang.
141_00	Kaum Tsamud telah mendustakan rasul-rasul.
142_00	Ketika saudara mereka, Shaleh, berkata kepada mereka: "Mengapa kamu tidak bertakwa?
143_00	Sesungguhnya aku adalah seorang rasul kepercayaan (yang diutus) kepadamu,
144_00	maka bertakwalah kepada Allah dan taatlah kepadaku.
145_00	Dan aku sekali-kali tidak minta upah kepadamu atas ajakan itu, upahku tidak lain hanyalah dari Tuhan semesta alam.
146_00	Adakah kamu akan dibiarkan tinggal disini (di negeri kamu ini) dengan aman,
147_00	di dalam kebun-kebun serta mata air,
148_00	dan tanam-tanaman dan pohon-pohon korma yang mayangnya lembut.
149_00	Dan kamu pahat sebagian dari gunung-gunung untuk dijadikan rumah-rumah dengan rajin;
150_00	maka bertakwalah kepada Allah dan taatlah kepadaku;
151_00	dan janganlah kamu mentaati perintah orang-orang yang melewati batas,
152_00	yang membuat kerusakan di muka bumi dan tidak mengadakan perbaikan".
153_00	Mereka berkata: "Sesungguhnya kamu adalah salah seorang dari orang-orang yang kena sihir;
154_00	Kamu tidak lain melainkan seorang manusia seperti kami; maka datangkanlah sesuatu mukjizat, jika kamu memang termasuk orang-orang yang benar".
155_00	Shaleh menjawab: "Ini seekor unta betina, ia mempunyai giliran untuk mendapatkan air, dan kamu mempunyai giliran pula untuk mendapatkan air di hari yang tertentu.
156_00	Dan janganlah kamu sentuh unta betina itu dengan sesuatu kejahatan, yang menyebabkan kamu akan ditimpa oleh azab hari yang besar".
157_00	Kemudian mereka membunuhnya, lalu mereka menjadi menyesal,
158_00	maka mereka ditimpa azab. Sesungguhnya pada yang demikian itu benar-benar terdapat bukti yang nyata. Dan adalah kebanyakan mereka tidak beriman.
159_00	Dan sesungguhnya Tuhanmu benar-benar Dialah Yang Maha Perkasa lagi Maha Penyayang.
160_00	Kaum Luth telah mendustakan rasul-rasul,
161_00	ketika saudara mereka, Luth, berkata kepada mereka: mengapa kamu tidak bertakwa?"
162_00	Sesungguhnya aku adalah seorang rasul kepercayaan (yang diutus) kepadamu,
163_00	maka bertakwalah kepada Allah dan taatlah kepadaku.
164_00	Dan aku sekali-kali tidak minta upah kepadamu atas ajakan itu; upahku tidak lain hanyalah dari Tuhan semeta alam.
165_00	Mengapa kamu mendatangi jenis lelaki di antara manusia,
166_00	dan kamu tinggalkan isteri-isteri yang dijadikan oleh Tuhanmu untukmu, bahkan kamu adalah orang-orang yang melampaui batas".
167_00	Mereka menjawab: "Hai Luth, sesungguhnya jika kamu tidak berhenti, benar-benar kamu termasuk orang-orang yang diusir"
168_00	Luth berkata: "Sesungguhnya aku sangat benci kepada perbuatanmu".
169_00	(Luth berdoa): "Ya Tuhanku selamatkanlah aku beserta keluargaku dari (akibat) perbuatan yang mereka kerjakan".
170_00	Lalu Kami selamatkan ia beserta keluarganya semua,
171_00	kecuali seorang perempuan tua (isterinya), yang termasuk dalam golongan yang tinggal.
172_00	Kemudian Kami binasakan yang lain.
173_00	Dan Kami hujani mereka dengan hujan (batu) maka amat jeleklah hujan yang menimpa orang-orang yang telah diberi peringatan itu.
174_00	Sesunguhnya pada yang demikian itu benar-benar terdapat bukti-bukti yang nyata. Dan adalah kebanyakan mereka tidak beriman.
175_00	Dan sesungguhnya Tuhanmu, benar-benar Dialah Yang Maha Perkasa lagi Maha Penyayang.
176_00	Penduduk Aikah telah mendustakan rasul-rasul;
177_00	ketika Syu'aib berkata kepada mereka: "Mengapa kamu tidak bertakwa?,
178_00	Sesungguhnya aku adalah seorang rasul kepercayaan (yang diutus) kepadamu.
179_00	maka bertakwalah kepada Allah dan taatlah kepadaku;
180_00	dan aku sekali-kali tidak minta upah kepadamu atas ajakan itu; upahku tidak lain hanyalah dari Tuhan semesta alam.
181_00	Sempurnakanlah takaran dan janganlah kamu termasuk orang-orang yang merugikan;
182_00	dan timbanglah dengan timbangan yang lurus.
183_00	Dan janganlah kamu merugikan manusia pada hak-haknya dan janganlah kamu merajalela di muka bumi dengan membuat kerusakan;
184_00	dan bertakwalah kepada Allah yang telah menciptakan kamu dan umat-umat yang dahulu".
185_00	Mereka berkata: "Sesungguhnya kamu adalah salah seorang dari orang-orang yang kena sihir,
186_00	dan kamu tidak lain melainkan seorang manusia seperti kami, dan sesungguhnya kami yakin bahwa kamu benar-benar termasuk orang-orang yang berdusta.
187_00	Maka jatuhkanlah atas kami gumpalan dari langit, jika kamu termasuk orang-orang yang benar.
188_00	Syu'aib berkata: "Tuhanku lebih mengetahui apa yang kamu kerjakan".
189_00	Kemudian mereka mendustakan Syu'aib, lalu mereka ditimpa azab pada hari mereka dinaungi awan. Sesungguhnya azab itu adalah azab hari yang besar.
190_00	Sesungguhnya pada yang demikian itu benar-benar terdapat tanda (kekuasaan Allah), tetapi kebanyakan mereka tidak beriman.
191_00	Dan sesungguhnya Tuhanmu benar-benar Dialah Yang Maha Perkasa lagi Maha Penyayang.
192_00	Dan sesungguhnya Al Quran ini benar-benar diturunkan oleh Tuhan semesta alam,
193_00	dia dibawa turun oleh Ar-Ruh Al-Amin (Jibril),
194_00	ke dalam hatimu (Muhammad) agar kamu menjadi salah seorang di antara orang-orang yang memberi peringatan,
195_00	dengan bahasa Arab yang jelas.
196_00	Dan sesungguhnya Al Quran itu benar-benar (tersebut) dalam Kitab-kitab orang yang dahulu.
197_00	Dan apakah tidak cukup menjadi bukti bagi mereka, bahwa para ulama Bani Israil mengetahuinya?
198_00	Dan kalau Al Quran itu Kami turunkan kepada salah seorang dari golongan bukan Arab,
199_00	lalu ia membacakannya kepada mereka (orang-orang kafir); niscaya mereka tidak akan beriman kepadanya.
200_00	Demikianlah Kami masukkan Al Quran ke dalam hati orang-orang yang durhaka.
201_00	Mereka tidak beriman kepadanya, hingga mereka melihat azab yang pedih,
202_00	maka datanglah azab kepada mereka dengan mendadak, sedang mereka tidak menyadarinya,
203_00	lalu mereka berkata: "Apakah kami dapat diberi tangguh?"
204_00	Maka apakah mereka meminta supaya disegerakan azab Kami?
205_00	Maka bagaimana pendapatmu jika Kami berikan kepada mereka kenikmatan hidup bertahun-tahun,
206_00	Kemudian datang kepada mereka azab yang telah diancamkan kepada mereka,
207_00	niscaya tidak berguna bagi mereka apa yang mereka selalu menikmatinya.
208_00	Dan Kami tidak membinasakan sesuatu negeripun, melainkan sesudah ada baginya orang-orang yang memberi peringatan;
209_00	untuk menjadi peringatan. Dan Kami sekali-kali tidak berlaku zalim.
210_00	Dan Al Quran itu bukanlah dibawa turun oleh syaitan-syaitan.
211_00	Dan tidaklah patut mereka membawa turun Al Quran itu, dan merekapun tidak akan kuasa.
212_00	Sesungguhnya mereka benar-benar dijauhkan daripada mendengar Al Quran itu.
213_00	Maka janganlah kamu menyeru (menyembah) tuhan yang lain di samping Allah, yang menyebabkan kamu termasuk orang-orang yang diazab.
214_00	Dan berilah peringatan kepada kerabat-kerabatmu yang terdekat,
215_00	dan rendahkanlah dirimu terhadap orang-orang yang mengikutimu, yaitu orang-orang yang beriman.
216_00	Jika mereka mendurhakaimu maka katakanlah: "Sesungguhnya aku tidak bertanggung jawab terhadap apa yang kamu kerjakan";
217_00	Dan bertawakkallah kepada (Allah) Yang Maha Perkasa lagi Maha Penyayang,
218_00	Yang melihat kamu ketika kamu berdiri (untuk sembahyang),
219_00	dan (melihat pula) perubahan gerak badanmu di antara orang-orang yang sujud.
220_00	Sesungguhnya Dia adalah Yang Maha Mendengar lagi Maha Mengetahui.
221_00	Apakah akan Aku beritakan kepadamu, kepada siapa syaitan-syaitan itu turun?
222_00	Mereka turun kepada tiap-tiap pendusta lagi yang banyak dosa,
223_00	mereka menghadapkan pendengaran (kepada syaitan) itu, dan kebanyakan mereka adalah orang-orang pendusta.
224_00	Dan penyair-penyair itu diikuti oleh orang-orang yang sesat.
225_00	Tidakkah kamu melihat bahwasanya mereka mengembara di tiap-tiap lembah,
226_00	dan bahwasanya mereka suka mengatakan apa yang mereka sendiri tidak mengerjakan(nya)?
227_00	kecuali orang-orang (penyair-penyair) yang beriman dan beramal saleh dan banyak menyebut Allah dan mendapat kemenangan sesudah menderita kezaliman.
227_01	Dan orang-orang yang zalim itu kelak akan mengetahui ke tempat mana mereka akan kembali.
