001_00	Wanakuuliza juu ya Ngawira.
020_00	Enyi mlio amini! Mt'iini Mwenyezi Mungu na Mtume wake, wala msijiepushe naye, nanyi mnasikia.
021_00	Wala msiwe kama wale wanao sema: Tumesikia, na kumbe hawasikii.
022_00	Hakika vinyama viovu mbele ya Mwenyezi Mungu ni vile viziwi na bubu visio tumia akili zao.
023_00	Na Mwenyezi Mungu angeli jua wema wowote kwao ange wasikilizisha, na lau ange wasikilizisha wangeli geuka wakapuuza.
024_00	Enyi mlio amini!
024_01	Muitikieni Mwenyezi Mungu na Mtume anapo kuitieni jambo la kukupeni uzima wa milele. Na jueni kuwa Mwenyezi Mungu huingia kati ya mtu na moyo wake, na kwamba hakika kwake Yeye tu mtakusanywa.
025_00	Na jikingeni na Fitna ambayo haitowasibu walio dhulumu peke yao kati yenu. Na jueni kuwa Mwenyezi Mungu ni Mkali wa kuadhibu.
026_00	Na kumbukeni mlipo kuwa wachache, mkionekana wanyonge katika nchi, mnaogopa watu wasikunyakueni, naye akakupeni pahala
026_01	pazuri pa kukaa, na akakutieni nguvu kwa nusura yake, na akakupeni riziki nzuri ili mpate kushukuru.
027_00	Enyi mlio amini! Msimfanyie khiana Mwenyezi Mungu na Mtume, wala msikhini amana zenu, nanyi mnajua.
028_00	Na jueni ya kwamba mali zenu na wana wenu ni Fitna (mtihani), na kwamba kwa Mwenyezi Mungu upo ujira mkubwa.
029_00	Enyi mlio amini! Mkimcha Mwenyezi Mungu atakupeni kipambanuo, na atakufutieni makosa, na atakusameheni, na Mwenyezi Mungu ni Mwenye fadhila kubwa.
030_00	Na walipo kupangia mpango walio kufuru wakufunge, au wakuuwe, au wakutoe. Wakapanga mipango yao, na Mwenyezi Mungu akapanga yake. Na Mwenyezi Mungu ndiye mbora wa mipango.
031_00	Na wanapo somewa Aya zetu, wao husema: Tumesikia. Na lau tungeli penda tunge sema kama haya. Haya si chochote ila hadithi za watu wa kale tu.
032_00	Na walipo sema: Ee Mwenyezi Mungu! Ikiwa haya ni kweli itokayo kwako basi tunyeshee mawe kutoka mbinguni, au tuletee adhabu yoyote iliyo chungu.
033_00	Na Mwenyezi Mungu hakuwa wa kuwaadhibu nawe umo pamoja nao, wala Mwenyezi Mungu si wa kuwaadhibu na hali ya kuwa wanaomba msamaha.
034_00	Lakini wana jambo gani hata Mwenyezi Mungu asiwaadhibu, na hali ya kuwa wanawazuilia watu Msikiti Mtakatifu?
034_01	Wala wao hawakuwa ndio walinzi wake, bali walinzi wake hawakuwa ila wacha-Mngu tu. Lakini wengi katika wao hawajui.
035_00	Na haikuwa ibada yao kwenye hiyo Nyumba (Al Kaaba) ila ni kupiga miunzi na makofi. Basi onjeni adhabu kwa vile mlivyo kuwa mkikufuru.
036_00	Hakika wale walio kufuru hutoa mali yao ili kuzuilia Njia ya Mwenyezi Mungu.
036_01	Basi watayatoa, kisha yatakuwa juu yao majuto, na kisha watashindwa. Na wale walio kufuru watakusanywa kwenye Jahannam.
037_00	Ili Mwenyezi Mungu apate kuwa pambanua walio waovu na walio wema, na kuwaweka waovu juu ya waovu wengine, na kuwarundika wote pamoja, na kuwatupa katika Jahannam. Hao ndio walio khasirika.
038_00	Waambie wale walio kufuru: Wakikoma watasamehewa yaliyo kwisha pita. Na wakiyarudia basi imekwisha pita mifano ya wa zamani.
039_00	Na piganeni nao mpaka isiwepo fitna na mateso, na Dini yote iwe kwa ajili ya Mwenyezi Mungu. Lakini wakiacha, basi hakika Mwenyezi Mungu anayaona wanayo yatenda.
040_00	Na kama wakigeuka basi jueni kwamba Mwenyezi Mungu ndiye Mola wenu, ni Mola Mwema na Msaidizi Mwema.
041_00	NA JUENI ya kwamba ngawira mnayo ipata, basi khums (sehemu moja katika tano) ni kwa ajili ya Mwenyezi Mungu na Mtume, na jamaa, na mayatima, na masikini, na wasafiri, ikiwa nyinyi mmemuamini Mwenyezi Mungu na tuliyo yateremsha kwa mja wetu siku ya kipambanuo, siku yalipo kutana majeshi mawili.
041_01	Na Mwenyezi Mungu ni Muweza wa kila kitu.
042_00	Kumbukeni pale mlipo kuwa nyinyi kwenye ng'ambo ya karibu ya bonde, na wao wakawa ng'ambo ya mbali, na msafara ulipo kuwa chini yenu.
042_01	Na ingeli kuwa mmeagana mngeli khitalifiana katika miadi.
042_02	Lakini (mkakutana) ili Mwenyezi Mungu atimize jambo lilio kuwa lazima litendeke, kwa sababu aangamie wa kuangamia kwa dalili zilizo dhaahiri, na asalimike wa kusalimika kwa dalili zilizo dhaahiri. Na Mwenyezi Mungu ni Mwenye kusikia Mwenye kujua.
043_00	Kumbuka alipo kuonyesha usingizini mwako kwamba wao ni wachache - na lau angeli kuonyesha kuwa ni wengi, mngeli ingiwa na woga, na mngeli zozana katika jambo hilo.
043_01	Lakini Mwenyezi Mungu kakuvueni. Hakika Yeye ni Mwenye kuyajua yalio vifuani.
044_00	Na mlipo kutana akakuonyesheni machoni mwenu kuwa wao ni wachache, na akakufanyeni nyinyi ni wachache machoni mwao, ili Mwenyezi Mungu atimize jambo lilio kuwa liwe.
044_01	Na mambo yote hurejezwa kwa Mwenyezi Mungu.
045_00	Enyi mlio amini! Mkikutana na jeshi, basi kueni imara, na mkumbukeni Mwenyezi Mungu sana ili mpate kufanikiwa.
046_00	Na mt'iini Mwenyezi Mungu na Mtume wake, wala msizozane mkaingiwa woga, na zikapotea nguvu zenu. Na subirini. Hakika Mwenyezi Mungu yu pamoja na wanao subiri.
047_00	Wala msiwe kama wale walio toka majumbani mwao kwa fakhari na kujionyesha kwa watu, na wakawazuilia watu Njia ya Mwenyezi Mungu. Na Mwenyezi Mungu ameyazunguka yote wanayo yafanya.
048_00	Na pale Shet'ani alipo wapambia vitendo vyao, na akawaambia: Hapana watu wa kukushindeni hii leo, na hali mimi ni mlinzi wenu.
048_01	Yalipo onana majeshi mawili, akarudi nyuma, na akasema: Mimi si pamoja nanyi.
048_02	Mimi naona msiyo yaona. Mimi namwogopa Mwenyezi Mungu, na Mwenyezi Mungu ni mkali wa kuadhibu.
049_00	Na walipo sema wanaafiki, na wale wenye ugonjwa nyoyoni mwao: Watu hawa dini yao imewadanganya. Na Mwenye kumtegemea Mwenyezi Mungu basi hakika Mwenyezi Mungu ni Mwenye nguvu Ametukuka, na Mwenye hikima.
050_00	Na laiti ungeli ona Malaika wanapo wafisha wale walio kufuru wakiwapiga nyuso zao na migongo yao, na kuwaambia: Ionjeni adhabu ya Moto!
051_00	Hayo ni kwa sababu ya yale yaliyo kwisha tangulizwa na mikono yenu, na hakika Mwenyezi Mungu si mwenye kuwadhulumu waja.
052_00	Kama ada ya watu wa Firauni na walio kuwa kabla yao - walizikataa Ishara za Mwenyezi Mungu. Basi Mwenyezi Mungu aliwashika kwa sababu ya madhambi yao. Na hakika Mwenyezi Mungu ni Mwenye nguvu na mkali wa kuadhibu.
053_00	Hayo ni kwa sababu Mwenyezi Mungu habadilishi kabisa neema alizo waneemesha watu, mpaka wao wabadilishe yaliyomo ndani ya nafsi zao. Na hakika Mwwnyezi Mungu ni Mwenye kusikia, Mwenye kujua.
054_00	Ni kama ada ya watu wa Firauni na walio kabla yao - walizikanusha Ishara za Mola wao Mlezi, basi tukawateketeza kwa madhambi yao.
054_01	Na tukawazamisha watu wa Firauni. Na wote walikuwa wenye kudhulumu.
055_00	Hakika vinyama vilio viovu kabisa mbele ya Mwenyezi Mungu ni wale wanao kufuru, basi hao hawaamini;
056_00	Wale ambao miongoni mwao umepatana nao ahadi, kisha wanavunja ahadi yao kila mara, wala hawamchi Mungu.
057_00	Basi ukiwakuta vitani wakimbize walio nyuma yao ili wapate kukumbuka.
058_00	Na ukichelea khiana kwa watu fulani basi watupilie ahadi yao kwa usawa. Hakika Mwenyezi Mungu hawapendi makhaini.
059_00	Wala wasidhanie wale walio kufuru kwamba wao wametangulia mbele. La, wao hawatashinda.
060_00	Basi waandalieni nguvu kama muwezavyo, na kwa farasi walio fungwa tayari-tayari, ili kuwatishia maadui wa Mwenyezi Mungu na maadui zenu, na wengineo ambao hamwajui, lakini Mwenyezi Mungu anawajua.
060_01	Na mkitoa chochote katika Njia ya Mwenyezi Mungu mtarudishiwa, na wala nyinyi hamtadhulumiwa.
061_00	Na wakielekea amani nawe pia elekea, na mtegemee Mwenyezi Mungu. Hakika Yeye ndiye Mwenye kusikia Mwenye kujua.
062_00	Na wakitaka kukukhadaa basi Mwenyezi Mungu atakutosheleza. Kwani Yeye ndiye aliye kuunga mkono kwa nusura yake na kwa Waumini.
063_00	Na akaziunga nyoyo zao. Na lau wewe ungeli toa vyote viliomo duniani usingeli weza kuziunga nyoyo zao, lakini Mwenyezi Mungu ndiye aliye waunganisha. Hakika Yeye ndiye Mtukufu Mwenye nguvu na Mwenye hikima.
064_00	Ewe Nabii! Mwenyezi Mungu anakutoshelezea wewe na Waumini walio kufuata.
065_00	Ewe Nabii! Wahimize Waumini wende vitani.
065_01	Wakiwapo kati yenu ishirini wanao subiri watawashinda mia mbili. Na wakiwapo kati yenu mia watawashinda elfu moja katika walio kufuru. Kwa sababu wao ni watu wasio fahamu.
066_00	Sasa Mwenyezi Mungu amekupunguzieni, na anajua kuwa upo udhaifu kwenu. Kwa hivyo wakiwa wapo watu mia moja kati yenu wenye kusubiri watawashinda mia mbili.
066_01	Na wakiwapo elfu moja watawashinda elfu mbili, kwa idhini ya Mwenyezi Mungu. Na Mwenyezi Mungu yu pamoja na wenye kusubiri.
067_00	Haimfalii Nabii yeyote kuwa na mateka mpaka awe ameshinda baraabara katika nchi. Mnataka vitu vya dunia, na Mwenyezi Mungu anataka Akhera. Na Mwenyezi Mungu ni Mtukufu Mwenye nguvu Mwenye hikima.
068_00	Lau isingeli kuwa hukumu iliyo kwisha tangulia kutoka kwa Mwenyezi Mungu ingeli kupateni adhabu kubwa kwa vile mlivyo chukua.
069_00	Basi kuleni katika mlivyo teka, ni halali na vizuri, na mcheni Mwenyezi Mungu. Hakika Mwenyezi Mungu ni Mwenye kusamehe na Mwenye kurehemu.
070_00	Ewe Nabii!
070_01	Waambie mateka waliomo mikononi mwenu: Kama Mwenyezi akiona kheri yoyote nyoyoni mwenu atakupeni bora kuliko vilivyo chukuliwa kwenu, na atakusameheni. Na Mwenyezi Mungu ni Mwenye kusamehe Mwenye kurehemu.
071_00	Ikiwa wanataka kukufanyia khiana, wao walikwisha mfanyia khiana Mwenyezi Mungu kabla yake, na Yeye akakuwezesha kuwashinda. Na Mwenyezi Mungu ni Mwenye kujua Mwenye hikima.
072_00	Hakika wale walio amini na wakahama na wakapigania Njia ya Mwenyezi Mungu kwa mali yao na nafsi zao, na wale walio toa mahala pa kukaa, na wakanusuru, hao ni marafiki na walinzi wao kwa wao.
072_01	Na wale walio amini lakini hawakuhama, nyinyi hamna waajibu wa ulinzi kwao hata kidogo mpaka wahame.
072_02	Lakini wakiomba msaada kwenu katika Dini, basi ni juu yenu kuwasaidia, isipo kuwa juu ya watu ambao yapo mapatano baina yenu na wao. Na Mwenyezi Mungu anayaona mnayo yatenda.
073_00	Na wale walio kufuru ni marafiki wenyewe kwa wenyewe. Msipo fanya hivi itakuwako fitna katika nchi na fisadi kubwa.
074_00	Na walio amini wakahama na wakapigana Jihadi katika Njia ya Mwenyezi Mungu, na walio toa mahala pa kukaa na wakanusuru, hao ndio Waumini wa kweli.
074_01	Watapata msamaha wa Mwenyezi Mungu na kuruzukiwa kwema.
075_00	Na watakao amini baadaye na wakahajiri, na wakapigana Jihadi pamoja nanyi, basi hao ni katika nyinyi.
075_01	Na jamaa wa nasaba wanastahikiana wenyewe kwa wenyewe zaidi katika Kitabu cha Mwenyezi Mungu. Hakika Mwenyezi Mungu ni Mwenye kujua kila kitu.
