001_00	Ya-Sin (Y. S.).
072_00	Na Sisi tukawadhalilishia. Basi baadhi yao wako wanao wapanda, na baadhi yao wanawala.
073_00	Na wao wanapata kwao manufaa na vinywaji. Basi je, hawashukuru?
074_00	Na wameishika miungu mingine badala ya Mwenyezi Mungu ili ati wapate kusaidiwa!
075_00	Hawataweza kuwasaidia. Bali hao ndio watakuwa askari wao watakao hudhurishwa.
076_00	Basi maneno yao yasikuhuzunishe. Hakika Sisi tunayajua wanayo yaweka siri na wanayo yatangaza.
077_00	Kwani mwanaadamu haoni ya kwamba Sisi tumemuumba yeye kutokana na tone la manii? Kisha sasa yeye ndio amekuwa ndiye mgomvi wa dhaahiri!
078_00	Na akatupigia mfano, na akasahau kuumbwa kwake, akasema: Ni nani huyo atakaye ihuisha mifupa nayo imekwisha mung'unyika?
079_00	Sema: Ataihuisha huyo huyo aliye iumba hapo mara ya mwanzo. Na Yeye ni Mjuzi wa kila kuumba.
080_00	Aliye kujaalieni kupata moto kutokana na mti wa kijani nanyi mkawa kwa huo mnawasha.
081_00	Kwani aliye ziumba mbingu na ardhi hawezi kuwaumba mfano wao? Kwani! Naye ndiye Muumbaji Mkuu, Mjuzi.
082_00	Hakika amri yake anapo taka kitu ni kukiambia tu: Kuwa! Na kikawa.
083_00	Basi Ametakasika yule ambaye mkononi mwake umo Ufalme wa kila kitu; na kwake Yeye mtarejeshwa.
