001_00	Hā Mīm.
044_00	A da Kur'an objavljujemo na tuđem jeziku, oni bi, sigurno, rekli: "Trebalo je da su mu ajeti razumljivi. Zar jezik tuđ, a onaj kome se objavljuje je Arap?" – Reci: "On je vjernicima uputstvo i lijek.
044_01	A oni koji neće da vjeruju – i gluhi su i slijepi, kao da se iz daleka mjesta dozivaju."
045_00	I Musau smo Knjigu dali, pa su se zbog nje podvojili. A da nije Riječi Gospodara tvoga prije izrečene, sa ovima bi bilo već svršeno, jer oni mnogo u Kur'an sumnjaju.
046_00	Ko čini dobro, u svoju korist čini, a ko radi zlo, na svoju štetu radi. – A Gospodar tvoj nije nepravedan prema robovima Svojim.
047_00	Samo On zna kada će Smak svijeta nastupiti. A ni plodovi ne izlaze iz cvijetnih čaški svojih i nijedna žena ne zanese i ne rodi, a da On to ne zna.
047_01	A na Dan kad ih On upita: "Gdje su oni koje ste smatrali Meni ravnim?" – oni će odgovoriti: "Javljamo Ti da niko od nas to ne tvrdi."
048_00	I neće biti onih kojima su se prije klanjali i uvjeriće se da ne mogu nikud umaći.
049_00	Čovjeku ne dosadi da bogatstvo traži, a kada ga neimaština zadesi, onda zdvaja i nadu gubi.
050_00	Kad ga obaspemo milošću Našom, poslije nesreće koja ga zadesi, on govori: "Ovo sam i zaslužio i ja ne mislim da će Čas oživljenja doći.
050_01	A ako budem Gospodaru svome vraćen, kod Njega me čeka Džennet." A Mi ćemo one koji nisu vjerovali, sigurno, o onom što su radili obavijestiti i da iskuse patnju tešku – doista ćemo im dati.
051_00	Kada čovjeku milost Našu darujemo, postaje nezahvalan i uzoholi se, a kada ga nevolja dotakne, onda se dugo moli.
052_00	Reci: "Šta mislite, ako je Kur'an od Allaha, a vi u nj nećete da vjerujete – ko je onda u većoj zabludi od onoga koji je u protivrječju dalekom od istine?"
053_00	Mi ćemo im pružati dokaze Naše u prostranstvima svemirskim, a i u njima samim, dok im ne bude sasvim jasno da je Kur'an istina. A zar nije dovoljno to što je Gospodar tvoj o svemu obaviješten?
054_00	Oni sumnjaju da će pred Gospodara svoga stati, a On znanjem Svojim obuhvaća sve.
