001_00	Elif Lām Mīm Sād.
082_00	A odgovor naroda njegova glasio je: "Istjerajte ih iz grada vašeg, oni su ljudi čistunci!"
083_00	I Mi smo njega i porodicu njegovu spasili, osim žene njegove; ona je ostala sa onima koji su kaznu iskusili.
084_00	I na njih smo kišu spustili, pa pogledaj kako su razvratnici skončali.
085_00	A Medjenu – njegova brata Šuajba. "O narode moj" – govorio je on – "Allahu se klanjajte, vi drugog boga osim njega nemate!
085_01	Dolazi vam jasan dokaz od Gospodara vašeg, zato pravo na litri i na kantaru mjerite i ljudima stvari njihove ne zakidajte,
085_02	i red na Zemlji ne remetite kad je već na njoj uspostavljen red. To je bolje za vas ako vjerujete.
086_00	I ne postavljajte zasjede na ispravnom putu, prijeteći i od Allahova puta odvraćajući one koji u Njega vjeruju, želeći krivi put.
086_01	I sjetite se kada vas je bilo malo i da vas je On umnožio, a pogledajte kako su skončali oni koji su nered pravili.
087_00	I ako jedni od vas vjeruju u ono što je po meni poslano, a drugi ne vjeruju,
087_01	pa pričekajte dok nam Allah ne presudi, jer On je sudija najbolji!"
088_00	Glavešine naroda njegova, one koje su bile ohole, rekoše: "Ili ćete bezuvjetno vjeru našu prihvatiti, ili ćemo m
088_01	i, o Šuajbe, i tebe i one koji s tobom vjeruju iz grada našeg istjerati." – "Zar i protiv naše volje?" – reče on.
089_00	"Ako bismo vjeru vašu prihvatili nakon što nas je Allah spasio nje, na Allaha bismo laž iznijeli.
089_01	Mi je ne trebamo prihvaćati, to neće Allah, Gospodar naš, jer Gospodar naš znanjem Svojim sve obuhvaća; u Allaha se uzdamo!
089_02	Gospodaru naš, Ti presudi nama i narodu našem po pravdi, Ti si sudija najpravedniji!"
090_00	A glavešine naroda njegova, one koje nisu vjerovale, rekoše: "Ako pođete za Šuajbom, bićete sigurno izgubljeni."
091_00	I zadesi ih potom strašan potres i oni osvanuše u zemlji svojoj mrtvi, nepomični.
092_00	Oni koji su smatrali Šuajba lašcem – kao da nikada u njoj nisu ni bili; oni koji su smatrali Šuajba lašcem, oni su nastradali.
093_00	A on ih je već bio napustio i rekao: "O narode moj, prenio sam vam poslanice Gospodara svoga, i savjetovao vas, pa zašto da tugujem za narodom nevjerničkim?!"
094_00	I Mi nijednog vjerovjesnika u neki grad nismo poslali, a da stanovnike njegove neimaštinom i bolešću nismo kaznili da bi se pokajali.
095_00	Poslije bismo kaznu blagostanjem zamijenili dok se ne bi umnožili i rekli: "I naše su pretke pogađale i žalosti i radosti!" – i tada bismo ih, da oni ne predosjete, neočekivano kaznili.
096_00	A da su stanovnici sélā i gradova vjerovali i grijeha se klonili, Mi bismo im blagoslove i s neba i iz zemlje slali, ali, oni su poricali, pa smo ih kažnjavali za ono što su zaradili.
097_00	A zar su stanovnici sélā i gradova sigurni da ih Naša kazna neće snaći noću dok budu spavali?
098_00	Ili su stanovnici sélā i gradova sigurni da ih Naša kazna neće stići danju dok se budu zabavljali?
099_00	Zar oni mogu biti sigurni od Allahove kazne? Allahove kazne se ne boji samo narod kome propast predstoji.
100_00	Zar nije jasno onima koji nasljeđuju zemlju prijašnjih stanovnika njezinih da ćemo i njih, ako budemo htjeli, zbog grijehova njihovih kazniti i srca njihova zapečatiti, pa savjet neće poslušati.
101_00	O tim gradovima Mi ti neke događaje njihove kazujemo. Poslanici njihovi su im jasne dokaze donosili, ali oni nisu htjeli povjerovati u ono u što prije nisu vjerovali.
101_01	Eto tako Allah srca nevjernika zapečati –
102_00	a Mi smo znali da se većina njih zavjeta neće držati, i znali smo da će većinom, doista, grješnici biti.
103_00	Zatim smo, poslije njih, poslali Musaa faraonu i glavešinama njegovim sa dokazima Našim, ali oni u njih nisu povjerovali, pa pogledaj kako su skončali oni koji su nered činili.
104_00	I Musa reče: "O faraone, ja sam poslanik Gospodara svjetova!
105_00	Dužnost mi je da o Allahu samo istinu kažem. Donio sam vam jasan dokaz od Gospodara vašeg, zato pusti da idu sa mnom sinovi Israilovi!"
106_00	"Ako si donio kakav dokaz" – reče – "pokaži ga, ako istinu govoriš."
107_00	I on baci svoj štap – kad on prava zmijurina;
108_00	i izvadi ruku svoju – ona za prisutne postade bijela.
109_00	Glavešine naroda faraonova povikaše: "Ovaj je, doista, vješt čarobnjak,
110_00	on hoće da vas izvede iz zemlje vaše, pa šta predlažete?"
111_00	"Zadrži njega i brata njegova", rekoše, "a pošalji u gradove one koji će sakupljati,
112_00	preda te će sve vješte čarobnjake dovesti."
113_00	I faraonu čarobnjaci dođoše. "Da li ćemo, doista, nagradu dobiti ako budemo pobjednici?" – upitaše.
114_00	"Da" – reče – "i bićete mi, zaista, bliski."
115_00	"O Musa" – rekoše onda – "hoćeš li ti ili ćemo mi baciti?"
116_00	"Bacite vi" – reče on. I kad oni baciše, oči ljudima začaraše i jako ih prestrašiše, i vradžbinu veliku prirediše.
117_00	I Mi naredismo Musau: "Baci štap svoj!" – i on odjednom proguta sve ono čime su oni bili obmanu izveli.
118_00	I tako istina na vidjelo izbi i pokaza se da je bilo lažno ono što su oni priredili,
119_00	i tu oni bijahu pobijeđeni i ostadoše poniženi,
120_00	a čarobnjaci se licem na tle baciše.
121_00	"Mi vjerujemo u Gospodara svjetova" – povikaše,
122_00	"Gospodara Musaova i Harunova!"
123_00	"Zar da mu povjerujete prije nego što vam ja dozvolim!" – viknu faraon. "Ovo je, uistinu, smicalica koju ste u gradu smislili da biste iz njega stanovnike njegove izveli. Zapamtićete vi!
124_00	Izodsijecaću vam, sigurno, ruke vaše i noge vaše unakrst, a onda ću vas sve razapeti!"
125_00	A oni rekoše: "Mi ćemo se, doista, Gospodaru našem vratiti!
126_00	Ti nam zamjeraš samo to što smo u dokaze Gospodara našeg povjerovali kada su nam oni došli. Gospodaru naš, daj nam snage da izdržimo i učini da kao vjernici umremo!"
127_00	A glavešine naroda faraonova rekoše: "Zar ćeš ostaviti Musaa i narod njegov da nered u zemlji pravi i da tebe i božanstva tvoja napusti?" –
127_01	On reče: "Ubijaćemo mušku djecu njihovu, a žensku ćemo im ostavljati u životu; mi, uistinu, vladamo njima."
128_00	Musa reče narodu svome: "Molite Allaha da vam pomogne i budite strpljivi, Zemlja je Allahova, On je daje u naslijeđe kome On hoće od robova Svojih; a lijep ishod će biti za one koji se budu Allaha bojali."
129_00	"Zlostavljani smo" – rekoše oni – "prije nego što si nam došao, a i nakon što si nam došao!" A Musa reče: "Gosp
129_01	odar vaš će neprijatelja vašeg uništiti, a vas nasljednicima na Zemlji učiniti, da bi vidio kako ćete postupati.
130_00	I Mi smo faraonov narod gladnim godinama i nerodicom kaznili, da bi se opametili.
131_00	I kad bi im bilo dobro, oni bi govorili: "Ovo smo zaslužili", a kad bi ih snašla kakva nevolja, Musau i onima koji su s njim vjerovali tu nevolju bi pripisali.
131_01	Ali ne! Njihova nevolja je od Allaha bila, samo što većina njih nije znala!
132_00	I govorili su: "Kakav god dokaz da nam doneseš da nas njime opčaraš, mi ti nećemo vjerovati!"
133_00	Zato smo Mi na njih slali i poplave, i skakavce, i krpelje, i žabe, i krv – sve jasna znamenja, ali su se oni oholili, narod zlikovački su bili.
134_00	I kada bi ih zadesila nevolja, govorili bi: "O Musa, moli se, u naše ime, Gospodaru svome – onako
134_01	kako ti je On naredio: ako nas oslobodiš nevolje, mi ćemo zaista vjerovati i s tobom sinove Israilove, sigurno, poslati."
135_00	I pošto bismo ih nevolje oslobodili – do vremena do kojeg im je bilo određeno da je podnose, oni bi, odjednom, obećanje prekršili.
136_00	Zato ih Mi kaznismo i u moru ih potopismo, jer su znamenja Naša poricali i prema njima ravnodušni bili,
137_00	a potlačenom narodu dadosmo u naslijeđe istočne i zapadne krajeve zemlje koju smo blagoslovili,
137_01	i lijepo obećanje Gospodara tvoga sinovima Israilovim bilo je ispunjeno – zato što su trpjeli, a sa zemljom sravnismo ono što su faraon i narod njegov sagradili i ono što su podigli.
138_00	I Mi sinove Israilove preko mora prevedosmo, pa oni naiđoše na narod koji se klanjao kumirima svojim.
138_01	"O Musa" – rekoše – "napravi i ti nama boga kao što i oni imaju bogove!" – "Vi ste, uistinu, narod koji nema pameti!" – reče on.
139_00	"Zaista će biti poništeno ono što ovi ispovijedaju i beskorisno će im biti ono što rade.
140_00	Zar da vam, pored Allaha, tražim drugog boga, a On vas je iznad ostalog svijeta uzdigao?"
141_00	I pošto smo vas Mi od faraonovih ljudi izbavili, koji su vas neizmjerno mučili: mušku djecu su vašu ubijali, a žensku vam u životu ostavljali,
141_01	to je bilo teško iskušenje od Gospodara vašeg –
142_00	Mi odredismo da čas susreta sa Musaom bude kad se napuni trideset noći, i dopunismo ih još sa deset, pa se vrijeme koje je odredio Gospodar njegov ispuni za četrdeset noći.
142_01	A Musa je bio rekao bratu svome Harunu: "Zastupaj me u narodu mome, i red pravi i ne slijedi puteve onih koji su smutljivci!"
143_00	I kad Nam Musa dođe u određeno vrijeme, i kada mu Gospodar njegov progovori, on reče: "Gospodaru moj, ukaži mi se da Te vidim!" – "Ne možeš Me vidjeti" – reče – "ali pogledaj u ono brdo, pa ako ono ostane na svome mjestu, vidjećeš Me!"
143_01	I kad se Gospodar njegov onome brdu otkri, On ga sa zemljom sravni, a Musa se onesviješćen strovali.
143_02	Čim se osvijesti, reče: "Hvaljen neka si! Kajem Ti se, ja sam vjernik prvi!"
144_00	"O Musa" – reče On – "Ja sam tebe odlikovao nad ostalim svijetom poslanstvom Svojim i govorom Svojim. Ono što ti dajem uzmi i zahvalan budi!"
145_00	I Mi mu na pločama napisasmo pouku za sve, i objašnjenje za svašta.
145_01	"Primi ih svojski, a narodu svome zapovijedi da se pridržava onoga što je u njima ljepše!" A pokazaću vam i zemlju grješnika.
146_00	Odvratiću od znamenja Mojih one koji se budu bez ikakva osnova na Zemlji oholili.
146_01	I kakav god oni dokaz vide, neće ga vjerovati: ako vide Pravi put – neće ga kao put prihvatiti, a ako vide stranputicu – kao put će je prihvatiti.
146_02	To zato što će dokaze Naše poricati i što će prema njima ravnodušni biti.
147_00	A onima koji dokaze Naše ne budu priznavali i koji u susret na onome svijetu ne budu vjerovali, biće poništena djela njihova. Zar će biti drukčije kažnjeni nego kako su radili?
148_00	I narod Musaov, poslije odlaska njegova, prihvati od nakita svoga kip teleta koje je rikalo. Zar nisu vidjeli da im ono ne govori i da ih Pravim putem ne vodi?
148_01	Oni ga prihvatiše i prema sebi se ogriješiše.
149_00	I pošto se poslije gorko pokajaše i uvidješe da su zabludjeli, oni rekoše: "Ako se Gospodar naš na nas ne sažali i ako nam ne oprosti, doista ćemo biti izgubljeni!"
150_00	A kad se Musa srdit i žalostan narodu svome vrati, povika: "Kako ste tako ružno poslije odlaska moga postupili! Zašto ste požurili i o naređenje Gospodara svoga se oglušili?"
150_01	– i ploče baci, i brata svoga za kosu dohvati i poče ga vući sebi.
150_02	"O sine majke moje" – reče Harun – "narod nije nimalo do mene držao i umalo me nije ubio; nemoj da mi se svete dušmani i ne smatraj mene jednim od onih koji su se prema sebi ogriješili."
151_00	"Gospodaru moj" – zamoli Musa – "oprosti meni i bratu mome i učini da budemo pod okriljem Tvoje milosti, Ti si od milostivih najmilostiviji!"
152_00	One koji su tele prihvatili stići će kazna Gospodara njihova i poniženje još na ovome svijetu; tako Mi kažnjavamo one koji kuju laži.
153_00	A onima koji hrđava djela rade, pa se poslije pokaju i vjernici postanu, Gospodar tvoj će, poslije toga, sigurno oprostiti i samilostan biti.
154_00	I kad Musaa srdžba minu, on uze ploče na kojima je bilo ispisano uputstvo na Pravi put i milost za one koji se Gospodara svoga boje.
155_00	I Musa odabra iz naroda svoga sedamdeset ljudi da u određeno vrijeme stanu pred Nas. A kad ih zadesi potres, on reče: "Gospodaru moj, da si htio, mogao si i njih i mene uništiti još prije.
155_01	Zar da nas uništiš zbog onoga što su uradili bezumnici naši? To je samo iskušenje Tvoje kojim Ti, koga hoćeš, u zabludi ostavljaš, a kome hoćeš, na Pravi put ukazuješ;
155_02	Ti si Gospodar naš, pa nam oprosti i smiluj nam se, jer Ti praštaš najviše;
156_00	I dosudi nam milost na ovome svijetu, i na onome svijetu – mi se vraćamo Tebi!" – "Kaznom Svojom Ja kažnjavam koga hoću" – reče On
156_01	– "a milost Moja obuhvaća sve; daću je onima koji se budu grijeha klonili i zekat davali, i onima koji u dokaze Naše budu vjerovali,
157_00	onima koji će slijediti Poslanika, Vjerovjesnika, koji neće znati čitati ni pisati, kojeg oni kod sebe, u Tevratu i Indžilu, zapisana nalaze, koji će od njih tražiti da čine dobra djela, a od odvratnih odvraćati ih,
157_01	koji će im lijepa jela dozvoliti, a ružna im zabraniti, koji će ih tereta i teškoća koje su oni imali osloboditi.
157_02	Zato će oni koji budu u njega vjerovali, koji ga budu podržavali i pomagali i svjetlo po njemu poslano slijedili – postići ono što budu željeli.
158_00	Reci: "O ljudi, ja sam svima vama Allahov poslanik, Njegova vlast je na nebesima i na Zemlji; nema drugog boga osim Njega, On život i smrt daje, i zato vjerujte u
158_01	Allaha i poslanika Njegova, vjerovjesnika, koji ne zna čitati i pisati, koji vjeruje u Allaha i riječi Njegove; njega slijedite – da biste na Pravome putu bili!"
159_00	U narodu Musaovu ima ljudi koji na Istinu upućuju i koji prema njoj pravedno sude.
160_00	I Mi smo ih na dvanaest rodova podijelili, i Musau smo objavili, kad mu je narod njegov vode zatražio: "Udari štapom svojim po stijeni!" – i iz nje je dvanaest vrela provrelo, svaki rod je znao vrelo iz kog će piti.
160_01	I Mi smo im od oblaka hlad pravili i manu i prepelice im davali: "Jedite lijepe stvari kojima vas opskrbljujemo!"
160_02	Oni nisu Nama nepravdu učinili, sami su sebi nepravedni bili.
161_00	A kada im je bilo rečeno: "Nastanite se u ovom gradu i jedite odakle hoćete i recite: 'Oprosti!', a na kapiju uđite glava pognutih –
161_01	oprostićemo vam grijehe vaše, a onima koji dobra djela čine daćemo i više" –
162_00	onda su oni nepravedni među njima zamijenili drugom riječ koja im je bila rečena, i Mi smo na njih s neba kaznu spustili zato što su stalno nepravedni bili.
