001_00	ฮามีม
038_00	แต่ถ้าพวกเขาหยิ่งยะโส กระนั้นก็ดีบรรดาผู้ที่อยู่ ณ ที่พระเจ้าของเจ้า (มะลาอิกะฮฺ) ก็จะแซ่ซ้องสดุดีพระองค์ทั้งกลางคืนและกลางวัน โดยที่พวกเขาจะไม่เหนื่อยหน่าย
039_00	และส่วนหนึ่งจากสัญญาณทั้งหลายของพระองค์ คือ เจ้าจะเห็นแผ่นดินแห้งกรัง ต่อเมื่อพระองค์ทรงหลั่งน้ำฝนลงมาบนมัน
039_01	มันก็จะมีชีวิตชีวาและให้พืชผล แท้จริง ผู้ซึ่งให้มันมีชีวิตขึ้นมานั้น ก็จะทรงให้ชีวิตแก่คนตายได้อย่างแน่นอน แท้จริงพระองค์นั้นเป็นผู้ทรงอนุภาพเหนือทุกสิ่ง
040_00	แท้จริงบรรดาผู้บิดเบือนทั้งหลายของเรา พวกเขาจะไม่ซ่อนเร้นไปจากเราได้ผู้ที่ถูกโยนลงในนรกจะดีกว่า หรือผู้ที่มาอย่างปลอดภัยในวันกิยามะฮฺ ?
040_01	จงทำตามสิ่งที่พวกเจ้าปรารถนาเถิด แท้จริงพระองค์ทรงรู้เห็นในสิ่งที่พวกเจ้ากระทำ
041_00	แท้จริงบรรดาผู้ปฏิเสธศรัทธาต่อข้อตักเตือน (อัลกุรอาน) เมื่อได้มีมายังพวกเขาและแท้จริงอัลกุรอานเป็นคัมภีร์ที่มีอำนาจยิ่ง
042_00	ความเท็จจากข้างหน้าและจากข้างหลังจะไม่คืบคลานเข้าไปสู่อัลกุรอานได้ (เพราะ) เป็นการประทานจากพระผู้ทรงปรีชาญาณผู้ทรงได้รับการสรรเสริญ
043_00	ไม่มีสิ่งใดที่ถูกกล่าวแก่เจ้า เว้นแต่ได้มีการกล่าวขึ้นแล้ว แก่บรรดาร่อซูล ก่อนหน้าเจ้า แท้จริงพระเจ้าของเจ้านั้นแน่นอน พระองค์ทรงเป็นผู้อภัย และทรงเป็นผู้ลงโทษอย่างเจ็บปวด
044_00	และมาตรว่า เราได้ประทานอัลกุรอานมาเป็นภาษาต่างชาติ แน่นอนพวกเขาจะกล่าวว่า ทำไมอายาตทั้งหลายของอัลกุรอานจึงไม่ชัดแจ้งเล่า ?
044_01	(อัลกุรอาน) เป็นภาษาต่างชาติ และ (นะบี) เป็นคนอาหรับกระนั้นหรือ ? จงกล่าวเถิดมุฮัมมัด อัลกุรอานนั้นเป็นแนวทางที่เที่ยงธรรม และเป็นการบำบัดแก่บรรดาผู้ศรัทธา ส่วนบรรดาผู้ไม่ศรัทธานั้น อัลกุรอานจะทำให้หูของพวกเขาหนวก และนัยตาของพวกเขาบอด ชนเหล่านี้จะถูกร้องเรียกจากสถานที่อันไกล
045_00	และโดยแน่นอน เราได้ประทานคัมภีร์ แต่ได้เกิดมีการขัดแย้งกันขึ้นในนั้น และมาตรฐานว่าคำกล่าวหนึ่งจากพระเจ้าของเจ้ามิได้ถูกบันทึกไว้ก่อนแล้ว ก็คงจะถูกตัดสินระหว่างพวกเขาอย่างแน่นอน และแท้จริงพวกเขานั้นอยู่ในการคลางแคลงสงสัยจากในคัมภีร์นั้น
046_00	ผู้ใดกระทำความดีก็จะได้แก่ตัวของเขา และผู้ใดกระทำความชั่วก็จะได้แก่ตัวของเขาเอง และพระเจ้าของเจ้านั้นมิทรงอธรรมต่อปวงบ่าวของพระองค์
047_00	ความรู้แห่งยามอวสานนั้นถูกอ้างกลับไปยังพระองค์ ไม่มีผลไม้ใดออกมาจากเปลือกของมัน และไม่มีหญิงใดอุ้มครรภ์ หรือคลอดทารกออกมา เว้นแต่ด้วยความรอบรู้ของพระองค์
047_01	และวันที่พระองค์ทรงร้องเรียกพวกเขาว่า ไหนเล่าภาคีทั้งหลายของข้า พวกเขาจะกล่าวว่า เราขอยืนยันต่อพระองค์ว่า ไม่มีผู้ใดในหมู่พวกเราเป็นพยานได้
048_00	และสิ่งที่พวกเขาวิงวอนกราบไหว้ ได้เตลิดหนีไปจากพวกเขา และพวกเขาเชื่อมั่นว่า พวกเขานั้นไม่มีทางที่จะหลบหนีไปได้
049_00	มนุษย์จะไม่เบื่อหน่ายต่อการวิงวอนขอความดี แต่เมื่อความทุกข์ยากประสบแก่พวกเขาเข้าเขาก็จะท้อถอยหมดอาลัย
050_00	และเมื่อเราได้ให้เขาลิ้มรสความเมตตาจากเราหลังจากความทุกข์ยากได้ประสบแก่เขา แน่นอนเขาก็จะกล่าวว่า นี่คือความสามารถของฉัน และฉันไม่คิดว่ายามอวสานนั้นจะเกิดขึ้น แต่ถ้าฉันถูกส่งกลับไปยังพระเจ้าของฉัน แน่นอนฉันจะมีคุณความดี
050_01	ณ ที่พระองค์ ดังนั้นเรา (อัลลอฮฺ) จะให้บรรดาผู้ปฏิเสธศรัทธาได้รู้เห็นในสิ่งที่พวกเขาได้กระทำไว้ และแน่นอนเราจะให้พวกเขาได้ลิ้มรสการลงโทษอันรุนแรง
051_00	และเมื่อเราได้ให้ความโปรดปรานแก่มนุษย์ เขาก็เหินห่างและปลีกตัวออกไปข้าง ๆ และเมื่อความทุกข์ประสบแก่เขา เขาก็เป็นผู้วิงวอนขออย่างยืดเยื้อ
052_00	จงกล่าวเถิดมุฮัมมัด พวกท่านไม่เห็นดอกหรือว่า ถ้าอัลกุรอานมาจากอัลลอฮฺ แล้วพวกท่านปฏิเสธที่จะศรัทธาต่ออัลกุรอาน ใครเล่าจะหลงทางมากไปกว่าผู้ที่อยู่ในการแตกแยกอย่างลิบลับ
053_00	เราจะให้พวกเขาได้เห็นสัญญาณทั้งหลายของเราในขอบเขตอันไกลโพ้นและ ในตัวของพวกเขาเอง จนกระทั่งจะเป็นประจักษ์แก่พวกเขาว่า อัลกุรอานนั้นเป็นความจริง ยังไม่พอเพียงอีกหรือ ที่พระเจ้าของเจ้านั้นทรงเป็นพยานต่อทุกสิ่ง
054_00	พึงรู้เถิดว่า แท้จริงพวกเขาอยู่ในการสงสัยเกี่ยวกับการพบพระเจ้าของพวกเขาพึงรู้เถิดว่า แท้จริงพระองค์เป็นผู้ทรงล้อมทุก ๆ สิ่งไว้
