001_00	Роҳман.
035_00	Устингиздан ўт-чўғ ва тутун юборилур. Бас, қутула олмассиз.
036_00	Бас, Роббингизнинг қайси неъматларини ёлғон дея олурсиз?!
037_00	Осмон ёрилиб, қирмизи мойга айланган вақтда...
038_00	Бас, Роббингизнинг қайси неъматларини ёлғон дея олурсиз?!
039_00	Бас, у кунда инс ҳам, жин ҳам гуноҳидан сўралмас. (Қиёмат бошлангандан инсдан ҳам, жиндан ҳам гуноҳ қилган-қилмагани ҳақида сўраб ўтирилмайди. Чунки ҳамманинг башарасидан, ҳолатидан унинг ким эканлиги билиниб туради.)
040_00	Бас, Роббингизнинг қайси неъматларини ёлғон дея олурсиз?!
041_00	Жиноятчмлар сиймоларидан билиниб турур. Ва уларнинг пешона сочлари ва оёқларидан тутилур.
042_00	Бас, Роббингизнинг қайси неъматларини ёлғон дея олурсиз?!
043_00	Жиноятчилар ёлғонга чиқараётган жаҳаннам шу бўлур.
044_00	Улар жаҳаннам билан ўта қайноқ сув ўртасида айланур.
045_00	Бас, Роббингизнинг қайси неъматларини ёлғон дея олурсиз?!
046_00	Роббиси ҳузурида туришдан қўрққанлар учун икки жаннат бор. (Қиёмат куни олам Парвардигорининг ҳузурида саволларга жавоб беришдан, ҳисоб-китоб мақомидан қўрқиб, тириклигидаёқ тайёргарлик кўриб, яхшилик билан кун кечирганларга икки жаннат бор экан. «Иккин жаннат»нинг бир неча шарҳлари бор, жумладан, инсга алоҳида жаннат, жинга алоҳида жаннат ёки икковларидан ҳар бирларига иккитадан жаннат, гуноҳкорлар жаҳаннам билан ўта қайноқ сув ўртасида айлансалар, тақводорлар биринчи жаннатлари, яъни, боғлари билан иккинчи жаннатлари - боғлари орасида сайр қиладилар.)
047_00	Бас, Роббингизнинг қайси неъматларини ёлғон дея олурсиз?!
048_00	Улар шох-новдалидирлар.
049_00	Бас, Роббингизнинг қайси неъматларини ёлғон дея олурсиз?!
050_00	Икковларида оқувчи икки булоқ бор.
051_00	Бас, Роббингизнинг қайси неъматларини ёлғон дея олурсиз?!
052_00	Икковларида ҳам мевадан жуфт навлар бор.
053_00	Бас, Роббингизнинг қайси неъматларини ёлғон дея олурсиз?!
054_00	Ипак астарли тўшакларга ёнбошлаган ва икки жаннат мевалари яқин бўлган ҳоллари бор.
055_00	Бас, Роббингизнинг қайси неъматларини ёлғон дея олурсиз?!
056_00	Уларда кўзлари тийилган, аввал инс ҳам, жин ҳам тегмаган(ҳур)лар бор.
057_00	Бас, Роббингизнинг қайси неъматларини ёлғон дея олурсиз?!
058_00	У(ҳур)лар худди ёқут ва маржонга ўхшарлар.
059_00	Бас, Роббингизнинг қайси неъматларини ёлғон дея олурсиз?!
060_00	Эҳсоннинг мукофоти, фақат эҳсондир.
061_00	Бас, Роббингизнинг қайси неъматларини ёлғон дея олурсиз?!
062_00	У икковидан пастроқда яна икки жаннат бор.
063_00	Бас, Роббингизнинг қайси неъматларини ёлғон дея олурсиз?!
064_00	Икковлари ям-яшилдир.
065_00	Бас, Роббингизнинг қайси неъматларини ёлғон дея олурсиз?!
066_00	Икковларида отилиб турувчи икки булоқ бор.
067_00	Бас, Роббингизнинг қайси неъматларини ёлғон дея олурсиз?!
068_00	Икковларида мевалар, хурмо ва анорлар бор.
069_00	Бас, Роббингизнинг қайси неъматларини ёлғон дея олурсиз?!
070_00	Уларда яхши, гўзаллар бор.
071_00	Бас, Роббингизнинг қайси неъматларини ёлғон дея олурсиз?!
072_00	Чодирларни лозим тутган ҳурлар бор.
073_00	Бас, Роббингизнинг қайси неъматларини ёлғон дея олурсиз?!
074_00	Аввал уларга инс ҳам, жин ҳам тегмаган.
075_00	Бас, Роббингизнинг қайси неъматларини ёлғон дея олурсиз?!
076_00	Яшил болишларга ва гўзал гиламларда ёнбошлаган ҳоллари бор.
077_00	Бас, Роббингизнинг қайси неъматларини ёлғон дея олурсиз?!
078_00	Улуғлик ва икром эгаси бўлмиш Роббинг исми муборак бўлди.
