001_00	سوێند به به‌ره‌به‌یان.
017_00	نه‌خێر ئه‌و شتانه‌، هیچی وا نیه‌، (نه‌به‌خشین مانی ڕێز و قه‌دره‌، نه‌لێگرتنه‌وه مانای بێ ڕێزی و بێ قه‌درییه‌، به‌ڵکو ئێوه (سه‌ره‌ڕای ئه‌و بیرو بۆچوونه چه‌وتانه‌تان) ڕێزی هه‌تیو ناگرن ونازی پێناده‌ن.
018_00	هانی یه‌کتر ناده‌ن بۆ ئه‌وه‌ی خۆراک ببه‌خشن به‌هه‌ژار و نه‌داران.
019_00	میڕاتی ده‌خۆن و هه‌مووی ده‌ماشنه‌وه (حه‌ق خزمان و نه‌دارانی لێ ناده‌ن).
020_00	ماڵ و سامان و دارایشتان زۆر خۆشده‌وێت (ره‌چاوی حه‌ڵاڵ و حه‌رام ناکه‌ن).
021_00	نه‌خێر، (هه‌ر ئاوا بۆتان نالوێت)، کاتێك دێت که زه‌وی ورد و خاش ده‌کرێت و له‌ناکاو ده‌درێت به‌یه‌کدا.
022_00	په‌روه‌ردگارت دێت و فریشته‌کانیش پۆل پۆل (هاتنی په‌روه‌ردگاری مه‌زن خۆی نه‌بێت که‌س نازانێت چۆنه‌).
023_00	ئه‌و ڕۆژه دۆزه‌خ ده‌هێنرێت و نیشان ده‌درێت، جا ئه‌و ڕۆژه (ئاده‌میزادی بێ باوه‌ڕ) ده‌زانێت چ په‌ندێکی به‌سه‌ر خۆی هێناوه‌، به‌ڵام تازه به‌خۆدا هاتنه‌وه و په‌شیمانی هیچ سوودێکی نیه و دادی نادات؟!
024_00	(ئه‌وسا به که‌ساسی و هه‌ناسه‌ی سارده‌وه‌‎) ده‌ڵێت: خۆزگه بۆ ئه‌م ژیانه‌م ده‌ست پێشخه‌ریم بکردایه‌.
025_00	جا ئیتر ئه‌و ڕۆژه که‌س وه‌ک خوا به‌خشم و قین نیه له بێ باوه‌ڕان، له‌به‌رئه‌وه سزایه‌کیان ده‌دات که که‌س ناتوانێت سزای له‌و چه‌شنه بدات.
026_00	که‌سیش وه‌ک ئه‌و زاته (بێ باوه‌ڕان) نابه‌ستێته‌وه و به‌ندیان ناکات.
027_00	(شایانی باسه به ئیماندارای سه‌رفراز له سه‌ره‌مه‌رگدا ده‌وترێت) ئه‌ی خاوه‌نی دڵ و ده‌روونی پڕ له ئارامی (ئه‌ی ئاده‌میزادی ژیر و هۆشمه‌ند که له ته‌مه‌نی کۆتای دنیادا په‌روه‌ردگارت ناسی و به‌جوانی ده‌تپه‌رست...).
028_00	بگه‌ڕێره‌وه بۆ لای په‌روه‌ردگارت که تۆ له‌و ڕازیت و ئه‌ویش له تۆ ڕازیه‌.
029_00	ده بچۆره ڕیزی به‌نده چاکه نازدار و به‌ڕێزه‌کانمه‌وه‌.
030_00	بچۆره به‌هه‌شته خۆشه ڕازاوه‌که‌مه‌وه‌.
