001_00	خوای میهره‌بان، کانگای سۆزو ڕه‌حمه‌ت.
018_00	جا ئیتر گرۆی ئاده‌میزادو په‌ری به‌کام له‌نازو نیعمه‌ته‌کانی په‌روه‌ردگار بڕوا ناکه‌ن، کامه‌ی په‌سه‌ند ناکه‌ن
019_00	ئاوی دوو ده‌ریای به‌ره‌ڵا کردووه‌و به‌یه‌ک گه‌یاندووه تێکه‌ڵیش نابن
020_00	چونکه‌له‌نێوانیاندا به‌ربه‌ستێک هه‌یه نایه‌ڵێت تێکه‌ڵ ببن ( ئه‌م دیارده‌یه له‌نێوان ده‌ریای سپی و زه‌ریای ئه‌تڵه‌سیداو ده‌ریای سوورو ده‌ریای عه‌ره‌بدا ئاشکرایه )
021_00	جا ئیتر گرۆی ئاده‌میزادو په‌ری به‌کام له‌نازو نیعمه‌ته‌کانی په‌روه‌ردگار بڕوا ناکه‌ن، کامه‌ی په‌سه‌ند ناکه‌ن
022_00	له‌و دوو جۆر ده‌ریایه مرواری و مه‌رجان ده‌رده‌چن ( که‌دوو جۆر گه‌وهه‌ری به‌نرخن )
023_00	جا ئیتر گرۆی ئاده‌میزادو په‌ری به‌کام له‌نازو نیعمه‌ته‌کانی په‌روه‌ردگار بڕوا ناکه‌ن، کامه‌ی په‌سه‌ند ناکه‌ن
024_00	هه‌رچی که‌شتی هه‌یه له‌ده‌ریاکاندا وه‌ک به‌یداخ، وه‌ک شاخ هاتوچۆ ده‌که‌ن، هه‌ر خوایش خاوه‌نیانه‌
025_00	جا ئیتر گرۆی ئاده‌میزادو په‌ری به‌کام له‌نازو نیعمه‌ته‌کانی په‌روه‌ردگار بڕوا ناکه‌ن، کامه‌ی په‌سه‌ند ناکه‌ن
026_00	هه‌موو ئه‌و که‌سانه‌ی له‌سه‌ر ڕووی زه‌وین، هه‌ر هه‌مووی فه‌وتاوو تیاچووه ده‌بێت بمرن
027_00	ته‌نها زاتی په‌روه‌ردگاری خاوه‌ن بڵندی و ڕێزداری تۆیه که‌ده‌مێنێته‌وه
028_00	جا ئیتر گرۆی ئاده‌میزادو په‌ری به‌کام له‌نازو نیعمه‌ته‌کانی په‌روه‌ردگار بڕوا ناکه‌ن، کامه‌ی په‌سه‌ند ناکه‌ن
029_00	هه‌موو گیانله‌به‌رو زینده‌وه‌ران له‌ئاسمانه‌کان و زه‌ویدا به‌رده‌وام به‌گوفتارو به‌زمانی حاڵ، داوای پێداویستی و داخوازیه‌کان له‌په‌روه‌ردگار ده‌که‌ن، هه‌موو ڕۆژێک و هه‌موو کاتێک ( ملیۆنه‌هاو ملیاره‌ها، به‌ڵکو بێ شومار تاوتۆی ده‌کات له‌بوونه‌وه‌رو له‌جیهانی ئاده‌میزادو په‌ری و فریشته‌کان و... هتد )
030_00	جا ئیتر گرۆی ئاده‌میزادو په‌ری به‌کام له‌نازو نیعمه‌ته‌کانی په‌روه‌ردگار بڕوا ناکه‌ن، کامه‌ی په‌سه‌ند ناکه‌ن
031_00	ئه‌ی گرۆی ئاده‌میزادو په‌ری، ڕۆژێک دێت به‌تایبه‌ت لێتان ده‌پرسینه‌وه و دادگایتان ده‌که‌ین ( خوای باڵاده‌ست هه‌ڕه‌شه له‌م دوو ده‌سته‌یه له‌دروستکراوه‌کانی ده‌کات، که‌له‌هه‌ندێک ڕووه‌وه سه‌رپشکی کردوون و ئازادی داونه‌تێ، به‌ڵام زۆربه‌یان یاخی و سه‌رکه‌شن، قوڕ به‌سه‌ر یاخیه‌کان له‌و ڕۆژه‌دا )
032_00	جا ئیتر گرۆی ئاده‌میزادو په‌ری به‌کام له‌نازو نیعمه‌ته‌کانی په‌روه‌ردگار بڕوا ناکه‌ن، کامه‌ی په‌سه‌ند ناکه‌ن
033_00	ئه‌ی گرۆی په‌ری و ئاده‌میزاد ئه‌گه‌ر ده‌توانن به‌به‌شه‌کانی ئاسمانه‌کان و زه‌ویدا ده‌رچن، ئه‌وکاره‌ئه‌نجام بده‌ن، دڵنیاش بن که‌ئه‌وکاره‌به‌هۆی ده‌زگای ماددی و توانای مه‌عنه‌ویه‌وه نه‌بێت ئه‌نجام نادرێت
034_00	جا ئیتر گرۆی ئاده‌میزادو په‌ری به‌کام له‌نازو نیعمه‌ته‌کانی په‌روه‌ردگار بڕوا ناکه‌ن، کامه‌ی په‌سه‌ند ناکه‌ن
035_00	خۆ ئه‌گه‌ر له‌سنوور ده‌رچوون، بڵێسه‌ی ئاگرتان هاوڕێ له‌گه‌ڵ مسی تواوه‌دا بۆ ڕه‌وانه‌ده‌کرێت، ئیتر شکست ده‌خۆن و سه‌رکه‌وتوو نابن
036_00	جا ئیتر گرۆی ئاده‌میزادو په‌ری به‌کام له‌نازو نیعمه‌ته‌کانی په‌روه‌ردگار بڕوا ناکه‌ن، کامه‌ی په‌سه‌ند ناکه‌ن
037_00	کاتێک دێت ئاسمان له‌ت ده‌بێت و وه‌کو گوڵێکی سوور دێته به‌رچاو، یاخود وه‌ک ڕۆنی قرچاوی لێ دێت ( ئه‌مه‌ش قۆناغێکه له‌قۆناغه‌کانی تێکچوونی )
038_00	جا ئیتر گرۆی ئاده‌میزادو په‌ری به‌کام له‌نازو نیعمه‌ته‌کانی په‌روه‌ردگار بڕوا ناکه‌ن، کامه‌ی په‌سه‌ند ناکه‌ن
039_00	ئه‌و ڕۆژه هه‌موو شت ڕوون و ئاشکرایه‌، پرسیار له‌گوناهانی ئاده‌میزاد و په‌ریه‌کان ناکرێت، ( ڕه‌نگه‌ئه‌وه‌قۆناغێک بێت له‌قۆناغه‌کان، که‌به‌روخساریان جیاده‌کرێنه‌وه )
040_00	جا ئیتر گرۆی ئاده‌میزادو په‌ری به‌کام له‌نازو نیعمه‌ته‌کانی په‌روه‌ردگار بڕوا ناکه‌ن، کامه‌ی په‌سه‌ند ناکه‌ن
041_00	ئینجا تاوانکارو گوناهباران به‌رووخساریاندا ده‌ناسرێته‌وه‌، ئه‌وسا ده‌ست گیر ده‌کرێت له‌ناوچه‌وانیان و قاچیان و گڵۆڵیان ده‌که‌ن و فڕێ ده‌درێنه ناو ئاگری دۆزه‌خه‌وه‌
042_00	جا ئیتر گرۆی ئاده‌میزادو په‌ری به‌کام له‌نازو نیعمه‌ته‌کانی په‌روه‌ردگار بڕوا ناکه‌ن، کامه‌ی په‌سه‌ند ناکه‌ن
043_00	ده‌وترێت: ئه‌مه‌ئه‌و دۆزه‌خه‌یه تاوانباران بڕیاریان پێی نه‌بوو
044_00	جا له‌نێوان ئاگرو ئاوی گه‌رمدا که‌به‌سه‌رچاوه‌یاندا ده‌کرێت هه‌ر ده‌خولێنه‌وه‌
045_00	جا ئیتر گرۆی ئاده‌میزادو په‌ری به‌کام له‌نازو نیعمه‌ته‌کانی په‌روه‌ردگار بڕوا ناکه‌ن، کامه‌ی په‌سه‌ند ناکه‌ن
046_00	بۆ ئه‌و که‌سه‌ش له‌مقامی په‌روه‌ردگاری خۆی ترسابێت، دوو باخی ڕازاوه‌ئاماده‌یه
047_00	جا ئیتر گرۆی ئاده‌میزادو په‌ری به‌کام له‌نازو نیعمه‌ته‌کانی په‌روه‌ردگار بڕوا ناکه‌ن، کامه‌ی په‌سه‌ند ناکه‌ن
048_00	ئه‌و دوو باخه‌ش خاوه‌نی دارو دره‌ختی گه‌ڵا ناسک و جوان و بریسکه‌داره‌
049_00	جا ئیتر گرۆی ئاده‌میزادو په‌ری به‌کام له‌نازو نیعمه‌ته‌کانی په‌روه‌ردگار بڕوا ناکه‌ن، کامه‌ی په‌سه‌ند ناکه‌ن
050_00	دوو سه‌رچاوه‌ی له‌کانی و ئاوی سازگاریان تیادایه‌و به‌خوڕ به‌جۆگه‌له‌کاندا ده‌ڕۆن
051_00	جا ئیتر گرۆی ئاده‌میزادو په‌ری به‌کام له‌نازو نیعمه‌ته‌کانی په‌روه‌ردگار بڕوا ناکه‌ن، کامه‌ی په‌سه‌ند ناکه‌ن
052_00	له‌هه‌موو جۆره میوه‌یه‌ک دوو جۆریان تیادایه‌
053_00	جا ئیتر گرۆی ئاده‌میزادو په‌ری به‌کام له‌نازو نیعمه‌ته‌کانی په‌روه‌ردگار بڕوا ناکه‌ن، کامه‌ی په‌سه‌ند ناکه‌ن
054_00	له‌و به‌هه‌شته‌خۆشه‌دا به‌خته‌وه‌ران له‌سه‌ر کورسی و قه‌نه‌فه‌و جێگه و ڕێگه خۆشه‌کان، شانیان داداوه‌که‌له‌ئاوریشمی تایبه‌ت ناواخن کراوه‌، ( داخۆ به‌رگه‌که‌ی له‌چی بێت؟! ) لێکردنه‌وه‌ی هه‌ر میوه‌یه‌کیش نزیک و ئاسانه‌و دره‌خته‌کان خۆیان سه‌ر فرو ده‌هێنن بۆ ئه‌و به‌خته‌وه‌رانه‌
055_00	جا ئیتر گرۆی ئاده‌میزادو په‌ری به‌کام له‌نازو نیعمه‌ته‌کانی په‌روه‌ردگار بڕوا ناکه‌ن، کامه‌ی په‌سه‌ند ناکه‌ن
056_00	له‌و به‌هه‌شته‌دا حۆری تیادایه که‌ته‌نها ته‌ماشای هاوسه‌ره‌کانیان ده‌که‌ن، پێش ئه‌وان ده‌ستی که‌سیان لێنه‌وه‌وتووه‌، نه‌له‌گرۆی ئاده‌می و نه‌له‌په‌ری
057_00	جا ئیتر گرۆی ئاده‌میزادو په‌ری به‌کام له‌نازو نیعمه‌ته‌کانی په‌روه‌ردگار بڕوا ناکه‌ن، کامه‌ی په‌سه‌ند ناکه‌ن
058_00	ئه‌و هاوسه‌رانه‌له‌جوانی و شۆخ و شه‌نگی و قه‌شه‌نگیدا وه‌کو یاقووت و مه‌رجان وان ( که‌دوو جۆر گه‌وهه‌ری به‌نرخن، له‌ده‌ریا ده‌رده‌هێنرێن )
059_00	جا ئیتر گرۆی ئاده‌میزادو په‌ری به‌کام له‌نازو نیعمه‌ته‌کانی په‌روه‌ردگار بڕوا ناکه‌ن، کامه‌ی په‌سه‌ند ناکه‌ن
060_00	مه‌گه‌ر پاداشتی چاکه‌ته‌نها چاکه‌نی یه؟!
061_00	جا ئیتر گرۆی ئاده‌میزادو په‌ری به‌کام له‌نازو نیعمه‌ته‌کانی په‌روه‌ردگار بڕوا ناکه‌ن، کامه‌ی په‌سه‌ند ناکه‌ن
062_00	جگه‌له‌و دوو به‌هه‌شته‌ی که‌باس کرا، به‌هه‌شتی تریش ئاماده‌یه بۆ ئه‌وانه‌ی که‌پله‌و پایه‌یان وا له‌خوار خاوه‌نی دوو به‌هه‌شتی ناوبراوه‌وه‌
063_00	جا ئیتر گرۆی ئاده‌میزادو په‌ری به‌کام له‌نازو نیعمه‌ته‌کانی په‌روه‌ردگار بڕوا ناکه‌ن، کامه‌ی په‌سه‌ند ناکه‌ن
064_00	( ئه‌و به‌هه‌شتانه‌ش ) ئه‌وه‌نده‌سه‌وز ده‌نوێنن مه‌یله و ڕه‌ش ده‌چنه‌وه‌له‌جوانی و تۆخیدا
065_00	جا ئیتر گرۆی ئاده‌میزادو په‌ری به‌کام له‌نازو نیعمه‌ته‌کانی په‌روه‌ردگار بڕوا ناکه‌ن، کامه‌ی په‌سه‌ند ناکه‌ن
066_00	دوو سه‌رچاوه‌ی هه‌ڵقوڵاویان تێدایه ( که‌دیمه‌نیان زۆر دڵفڕێنه )
067_00	جا ئیتر گرۆی ئاده‌میزادو په‌ری به‌کام له‌نازو نیعمه‌ته‌کانی په‌روه‌ردگار بڕوا ناکه‌ن، کامه‌ی په‌سه‌ند ناکه‌ن
068_00	دره‌ختی میوه‌و دارخورماو هه‌ناریان تێدایه‌
069_00	جا ئیتر گرۆی ئاده‌میزادو په‌ری به‌کام له‌نازو نیعمه‌ته‌کانی په‌روه‌ردگار بڕوا ناکه‌ن، کامه‌ی په‌سه‌ند ناکه‌ن
070_00	له‌و به‌هه‌شتانه‌دا حۆری جوان و شۆخ و شه‌نگ و ڕه‌وشت به‌رزی تیادایه‌
071_00	جا ئیتر گرۆی ئاده‌میزادو په‌ری به‌کام له‌نازو نیعمه‌ته‌کانی په‌روه‌ردگار بڕوا ناکه‌ن، کامه‌ی په‌سه‌ند ناکه‌ن
072_00	حۆری چاوگه‌ش و چاوڕه‌ش، له‌و ده‌واره‌تایبه‌تیانه‌ی که‌بۆیان ئاماده‌کراوه‌دوور ناکه‌ونه‌وه‌....
073_00	جا ئیتر گرۆی ئاده‌میزادو په‌ری به‌کام له‌نازو نیعمه‌ته‌کانی په‌روه‌ردگار بڕوا ناکه‌ن، کامه‌ی په‌سه‌ند ناکه‌ن
074_00	ئه‌و حۆریانه‌، پێش ئه‌وان ده‌ستی که‌سیان لێنه‌که‌وتووه‌، نه‌له‌گرۆی ئاده‌می و نه‌له‌په‌ری
075_00	جا ئیتر گرۆی ئاده‌میزادو په‌ری به‌کام له‌نازو نیعمه‌ته‌کانی په‌روه‌ردگار بڕوا ناکه‌ن، کامه‌ی په‌سه‌ند ناکه‌ن
076_00	شانیان داداوه‌له‌سه‌ر پشتی سه‌وزوبای جوان و دۆشه‌کی نایاب و ڕازاوه
077_00	جا ئیتر گرۆی ئاده‌میزادو په‌ری به‌کام له‌نازو نیعمه‌ته‌کانی په‌روه‌ردگار بڕوا ناکه‌ن، کامه‌ی په‌سه‌ند ناکه‌ن
078_00	موباره‌ک و به‌رزو به‌ڕێزه ناوی په‌روه‌ردگاری تۆ، چونکه‌ئه‌و زاتێکه خاوه‌نی به‌رزی و بڵندی و ڕێزی بێ سنووره‌بۆ ئیمانداران
