001_00	Der Allerbarmer
047_00	- welche der Wohltaten eures Herrn wollt ihr beide denn leugnen? -,
048_00	die beide Zweige haben.
049_00	Welche der Wohltaten eures Herrn wollt ihr beide denn leugnen?
050_00	Darin sind zwei Quellen, die fließen.
051_00	Welche der Wohltaten eures Herrn wollt ihr beide denn leugnen?
052_00	Darin gibt es von jeder Frucht zwei Arten'.
053_00	Welche der Wohltaten eures Herrn wollt ihr beide denn leugnen?
054_00	Sie werden sich auf Ruhebetten lehnen, deren Futter aus schwerem Brokat sind. Und die Ernte der beiden Gärten hängt herab.
055_00	Welche der Wohltaten eures Herrn wollt ihr beide denn leugnen?
056_00	Darin sind (weibliche Wesen), die ihre Blicke zurückhalten, die vor ihnen weder Mensch noch Ginn berührt haben
057_00	- welche der Wohltaten eures Herrn wollt ihr beide denn leugnen? -,
058_00	als wären sie Rubine und Korallen.
059_00	Welche der Wohltaten eures Herrn wollt ihr beide denn leugnen?
060_00	Ist der Lohn des Guten nicht ebenfalls das Gute?
061_00	Welche der Wohltaten eures Herrn wollt ihr beide denn leugnen?
062_00	Unterhalb der beiden gibt es (noch) zwei andere Gärten
063_00	- welche der Wohltaten eures Herrn wollt ihr beide denn leugnen? -,
064_00	dich bewachsene.
065_00	Welche der Wohltaten eures Herrn wollt ihr beide denn leugnen?
066_00	Darin sind zwei sprudelnde Quellen.
067_00	Welche der Wohltaten eures Herrn wollt ihr beide denn leugnen?
068_00	Darin sind Früchte und Palmen und Granatäpfel.
069_00	Welche der Wohltaten eures Herrn wollt ihr beide denn leugnen?
070_00	Darin sind gute schöne (weibliche Wesen)
071_00	- welche der Wohltaten eures Herrn wollt ihr beide denn leugnen? -,
072_00	Huris, (die) in den Zelten zurückgezogen (leben) -,
073_00	welche der Wohltaten eures Herrn wollt ihr beide denn leugnen? -,
074_00	die vor ihnen weder Mensch noch Ginn berührt haben.
075_00	Welche der Wohltaten eures Herrn wollt ihr beide denn leugnen?
076_00	Sie lehnen sich aufgrünen Decken und schönen Teppichen.
077_00	Welche der Wohltaten eures Herrn wollt ihr beide denn leugnen?
078_00	Segensreich ist der Name deines Herrn, Besitzer der Erhabenheit und Ehre!
