001_00	Haa, Miim.
022_00	(Setelah Nabi Musa berputus asa daripada iman mereka), maka ia pun merayu kepada Tuhannya lalu berkata: "Sesungguhnya orang-orang ini adalah kaum yang berdosa, (yang telah sebati dengan kekufurannya, dan berhaklah mereka menerima balasan yang seburuk-buruknya)".
023_00	Lalu (diperintahkan kepadanya): "Bawalah hamba-hambaku (pengikut-pengikutmu) keluar pada waktu malam, kerana sesungguhnya kamu akan dikejar (oleh Firaun dan orang-orangnya).
024_00	"Dan tinggalkanlah laut itu dalam keadaan tenang - terbelah, kerana sesungguhnya mereka (yang mengejarmu itu) ialah tentera yang akan ditenggelamkan (sehingga binasa)".
025_00	Banyak sungguh kebun-kebun dan matair, mereka tinggalkan,
026_00	Dan juga berbagai jenis tanaman serta tempat-tempat kediaman yang indah - mulia,
027_00	Dan juga kemewahan hidup, yang mereka sekian lama menikmatinya.
028_00	Demikianlah keadaannya (hukum Kami ke atas orang-orang yang derhaka); dan Kami jadikan semua peninggalan Firaun dan orang-orangnya: milik kaum yang lain (kaum Bani Israil).
029_00	Mereka (ketika dibinasakan) itu tidak ditangisi oleh langit dan bumi (atau penduduk keduanya) dan mereka pula tidak diberi tempoh lagi.
030_00	Dan demi sesungguhnya! Kami telah selamatkan kaum Bani Israil, dari azab yang menghina, -
031_00	Dari penindasan Firaun, sesungguhnya ia adalah seorang yang sombong takbur lagi terbilang dari orang-orang yang melampaui batas (dalam keganasan dan kekejamannya).
032_00	Dan demi sesungguhnya! Kami telah memilih mereka dengan berdasarkan pengetahuan (Kami) - menjadi lebih pangkatnya dari penduduk dunia (pada zaman itu),
033_00	Dan Kami berikan kepada mereka (melalui Nabi Musa) berbagai mukjizat yang mengandungi ujian yang jelas nyata (untuk melahirkan sikap mereka).
034_00	(Berbalik kepada kisah kaum musyrik penduduk Makkah, Allah berfirman): "Sesungguhnya mereka ini akan berkata (kepadamu - wahai Muhammad dan kepada pengikut-pengikutmu):
035_00	"Mati, hanyalah mati kita yang pertama (di dunia), dan kita tidak sekali-kali akan dibangkitkan hidup lagi (sesudah itu);
036_00	"(Jika tidak) maka bawakanlah datuk nenek kami (yang telah mati) kalau betul kamu orang-orang yang benar!"
037_00	(Mengapa mereka masih berdegil dalam kekufurannya?) Adakah mereka yang lebih kekuatan dan kehandalannya atau kaum "Tubba'" dan orang-orang yang terdahulu dari mereka? Orang-orang itu semuanya Kami telah binasakan, kerana sesungguhnya mereka adalah orang-orang yang berdosa.
038_00	Dan tidaklah Kami menciptakan langit dan bumi serta segala yang ada di antara keduanya, secara main-main;
039_00	Tidaklah Kami menciptakan keduanya (serta segala yang ada di antaranya) melainkan kerana menzahirkan perkara-perkara yang benar; akan tetapi kebanyakan mereka tidak mengetahui (hakikat itu).
040_00	Sesungguhnya hari pemutusan hukum untuk memberi balasan, ialah masa untuk mereka semua berhimpun, -
041_00	Iaitu hari seseorang kerabat atau sahabat karib tidak dapat memberikan sebarang perlindungan kepada seseorang kerabat atau sahabat karibnya, dan mereka pula tidak akan diberikan pertolongan (untuk menghapuskan azab itu),
042_00	Kecuali orang yang telah diberi rahmat oleh Allah; sesungguhnya Allah jualah yang Maha Kuasa, lagi Maha Mengasihani.
043_00	(Ingatlah), sesungguhnya pokok Zaqqum, -
044_00	(Buahnya) menjadi makanan bagi orang yang berdosa (dalam neraka).
045_00	(Makanan ini pula panas) seperti tembaga cair, mendidih dalam perut, -
046_00	Seperti mendidihnya air yang meluap-luap panasnya.
047_00	(Lalu diperintahkan kepada malaikat penjaga neraka): "Renggutlah orang yang berdosa itu dan seretlah dia ke tengah-tengah neraka.
048_00	"Kemudian curahkanlah di atas kepalanya - azab seksa - dari air panas yang menggelegak".
049_00	(Serta dikatakan kepadanya secara mengejek): "Rasalah azab seksa, sebenarnya engkau adalah orang yang berpengaruh dan terhormat (dalam kalangan masyarakatmu)"
050_00	(Kemudian dikatakan kepada ahli neraka umumnya): "Sesungguhnya inilah dia (azab seksa) yang kamu dahulu ragu-ragu terhadapnya!"
051_00	Sesungguhnya orang-orang yang bertaqwa (akan ditempatkan) di tempat tinggal yang aman sentosa. -
052_00	Ia itu di dalam beberapa taman Syurga, dengan matair-matair terpancar padanya,
053_00	Mereka memakai pakaian dari kain sutera yang halus dan kain sutera tebal yang bersulam; (mereka duduk di tempat perhimpunan) sentiasa berhadap-hadapan (di atas pelamin masing-masing).
054_00	Demikianlah keadaannya; dan Kami jadikan kawan teman mereka bidadari-bidadari yang putih melepak, lagi luas cantik matanya.
055_00	Mereka meminta - di dalam Syurga itu - tiap-tiap jenis buah-buahan (yang mereka ingini), dalam keadaan aman sentosa.
056_00	Mereka tidak merasai kematian dalam Syurga itu selain daripada mati yang mereka rasai (di dunia) dahulu; dan Allah selamatkan mereka dari azab neraka;
057_00	(Mereka diberikan semuanya itu) sebagai limpah kurnia dari Tuhanmu (wahai Muhammad); yang demikian itulah kemenangan yang besar.
058_00	Maka sesungguhnya tujuan Kami memudahkan Al-Quran dengan bahasamu (wahai Muhammad), ialah supaya mereka (yang memahaminya) beringat dan insaf (untuk beriman dan mematuhinya).
059_00	(Kiranya mereka tidak berbuat demikian) maka tunggulah (wahai Muhammad akan kesudahan mereka), sesungguhnya mereka juga menunggu (akan kesudahanmu).
