001_00	அளவற்ற அருளாளன்,
033_00	"மனு, ஜின் கூட்டத்தார்களே! வானங்கள், பூமி ஆகியவற்றின் எல்லைகளைக் கடந்து செல்ல நீங்கள் சக்தி பெறுவீர்களாயின், (அவ்வாறே) செல்லுங்கள்; ஆனால், (வல்லமையும் நம்) அதிகாரமும் இல்லாமல் நீங்கள் கடக்க முடியாது.
034_00	ஆகவே, நீங்கள் இரு சாராரும் உங்கள் (இரு சாராருடைய) இறைவனின் அருட்கொடைகளில் எதைப் பொய்யாக்குவீர்கள்?
035_00	(மறுமையில்) உங்களிருசாரார் மீதும், நெருப்பின் ஜீவாலையும், புகையும் அனுப்பப்படும், அப்பொழுது நீங்கள் (இரு சாராரும், எவரிடமிருந்தும்) உதவி பெற்றுக் கொள்ள மாட்டீர்கள்.
036_00	ஆகவே, நீங்கள் இரு சாராரும் உங்கள் (இரு சாராருடைய) இறைவனின் அருட்கொடைகளில் எதைப் பொய்யாக்குவீர்கள்?
037_00	எனவே, (கியாமத் வரும் நேரம்) அப்பொழுது வானம் பிளந்து, ரோஜாவின் (நிறம் போலாகி) எண்ணெய் போலாகிவிடும்.
038_00	ஆகவே, நீங்கள் இரு சாராரும் உங்கள் (இரு சாராருடைய) இறைவனின் அருட்கொடைகளில் எதைப் பொய்யாக்குவீர்கள்?
039_00	எனவே, அந்நாளில் மனிதர்களிடமோ, ஜின்களிடமோ, அவர்களுடைய பாவத்தைப் பற்றி, (வாய் மொழியாகக்) கேட்கப்படமாட்டாது.
040_00	ஆகவே, நீங்கள் இரு சாராரும் உங்கள் (இரு சாராருடைய) இறைவனின் அருட்கொடைகளில் எதைப் பொய்யாக்குவீர்கள்?
041_00	குற்றவாளிகள், அவர்களுடைய (முகக்குறி) அடையாளங்களை கொண்டே அறியப்படுவார்கள் - அப்போது (அவர்களுடைய) முன் நெற்றி உரோமங்களும், கால்களும் கொண்டு பிடிக்கப்படுவார்கள்
042_00	ஆகவே, நீங்கள் இரு சாராரும் உங்கள் (இரு சாராருடைய) இறைவனின் அருட்கொடைகளில் எதைப் பொய்யாக்குவீர்கள்?
043_00	அன்று அவர்களிடம்; "இது தான் குற்றவாளிகள் பொய்யென்று கூறிக் கொண்டிருந்த நரகம்" (என்று கூறப்படும்).
044_00	அவர்கள் அதற்கு இடையிலும், கொதித்துக் கொண்டிருக்கும் நீருக்கிடையிலும் சுற்றிக் கொண்டிருப்பார்கள்.
045_00	ஆகவே, நீங்கள் இரு சாராரும் உங்கள் (இரு சாராருடைய) இறைவனின் அருட்கொடைகளில் எதைப் பொய்யாக்குவீர்கள்?
046_00	தன் இறைவனின் முன் (விசாரணைக்காக மறுமையில்) நிற்க வேண்டுமென்பதைப் பயந்தவனுக்கு இரு சுவர்க்கச் சோலைகள் இருக்கின்றன.
047_00	ஆகவே, நீங்கள் இரு சாராரும் உங்கள் (இரு சாராருடைய) இறைவனின் அருட்கொடைகளில் எதைப் பொய்யாக்குவீர்கள்?
048_00	அவ்விரண்டு (சுவர்க்கச் சோலைகளு)ம் (பலவிதமான மரக்)கிளைகளையுடையவை.
049_00	ஆகவே, நீங்கள் இரு சாராரும் உங்கள் (இரு சாராருடைய) இறைவனின் அருட்கொடைகளில் எதைப் பொய்யாக்குவீர்கள்?
050_00	அவ்விரண்டிலும் இரண்டு ஊற்றுகள் (உதித்து) ஓடிக் கொண்டே இருக்கும்.
051_00	ஆகவே, நீங்கள் இரு சாராரும் உங்கள் (இரு சாராருடைய) இறைவனின் அருட்கொடைகளில் எதைப் பொய்யாக்குவீர்கள்?
052_00	அவ்விரண்டிலும், ஒவ்வொரு கனிவர்க்கத்திலும் இரட்டை வகைகள் உண்டு.
053_00	ஆகவே, நீங்கள் இரு சாராரும் உங்கள் (இரு சாராருடைய) இறைவனின் அருட்கொடைகளில் எதைப் பொய்யாக்குவீர்கள்?
054_00	அவர்கள் விரிப்புகளின் மீது சாய்ந்தவர்களாக இருப்பார்கள், அவற்றின் உள் பாகங்கள் "இஸ்தப்ரக்" என்னும் பட்டினாலுள்ளவை, மேலும் இரு சுவனச் சோலைகளில் (பழங்கள்) கொய்வதற்கு நெருங்கியிருக்கும்.
055_00	ஆகவே, நீங்கள் இரு சாராரும் உங்கள் (இரு சாராருடைய) இறைவனின் அருட்கொடைகளில் எதைப் பொய்யாக்குவீர்கள்?
056_00	அவற்றில் அடக்கமான பார்வையுடைய (அமர) கன்னியர் இருக்கின்றனர். அவர்களை இவர்களுக்கு முன்னர் எந்த மனிதனும், எந்த ஜின்னும் தீண்டியதில்லை.
057_00	ஆகவே, நீங்கள் இரு சாராரும் உங்கள் (இரு சாராருடைய) இறைவனின் அருட்கொடைகளில் எதைப் பொய்யாக்குவீர்கள்?
058_00	அவர்கள் வெண் முத்தைப் போன்றும், பவளத்தைப் போன்றும் இருப்பார்கள்.
059_00	ஆகவே, நீங்கள் இரு சாராரும் உங்கள் (இரு சாராருடைய) இறைவனின் அருட்கொடைகளில் எதைப் பொய்யாக்குவீர்கள்?
060_00	நன்மைக்கு நன்மையைத் தவிர (வேறு) கூலி உண்டா?
061_00	ஆகவே, நீங்கள் இரு சாராரும் உங்கள் (இரு சாராருடைய) இறைவனின் அருட்கொடைகளில் எதைப் பொய்யாக்குவீர்கள்?
062_00	மேலும் அவ்விரண்டு (சோலைகளு)ம் அல்லாமல், வேறு இரு சுவனச் சோலைகளும் இருக்கின்றன.
063_00	ஆகவே, நீங்கள் இரு சாராரும் உங்கள் (இரு சாராருடைய) இறைவனின் அருட்கொடைகளில் எதைப் பொய்யாக்குவீர்கள்?
064_00	அவ்விரண்டும் கரும் பச்சையான நிறமுடையவை.
065_00	ஆகவே, நீங்கள் இரு சாராரும் உங்கள் (இரு சாராருடைய) இறைவனின் அருட்கொடைகளில் எதைப் பொய்யாக்குவீர்கள்?
066_00	அவ்விரண்டிலும், இரு ஊற்றுக்கள் (சதா) பொங்கிக் கொண்டே இருக்கும்.
067_00	ஆகவே, நீங்கள் இரு சாராரும் உங்கள் (இரு சாராருடைய) இறைவனின் அருட்கொடைகளில் எதைப் பொய்யாக்குவீர்கள்?
068_00	அவ்விரண்டில், (பற்பல) கனி வகைகளும், பேரீச்சையும், மாதுளையும் உண்டு.
069_00	ஆகவே, நீங்கள் இரு சாராரும் உங்கள் (இரு சாராருடைய) இறைவனின் அருட்கொடைகளில் எதைப் பொய்யாக்குவீர்கள்?
070_00	அவற்றில், அழகு மிக்க நற் குணமுள்ள கன்னியர் இருக்கின்றனர்.
071_00	ஆகவே, நீங்கள் இரு சாராரும் உங்கள் (இரு சாராருடைய) இறைவனின் அருட்கொடைகளில் எதைப் பொய்யாக்குவீர்கள்?
072_00	ஹூர் (என்னும் அக்கன்னியர் அழகிய) கூடாரங்களில் மறைக்கப்பட்டிருப்பர்.
073_00	ஆகவே, நீங்கள் இரு சாராரும் உங்கள் (இரு சாராருடைய) இறைவனின் அருட்கொடைகளில் எதைப் பொய்யாக்குவீர்கள்?
074_00	அவர்களை இவர்களுக்கு முன்னர் எந்த மனிதனும், எந்த ஜின்னும் தீண்டியதில்லை.
075_00	ஆகவே, நீங்கள் இரு சாராரும் உங்கள் (இரு சாராருடைய) இறைவனின் அருட்கொடைகளில் எதைப் பொய்யாக்குவீர்கள்?
076_00	(அவர்கள்) பசுமையான இரத்தினக்கம்பளங்களின் மீதும், அழகு மிக்க விரிப்புக்கள் மீதும் சாய்ந்தவர்களாக இருப்பார்கள்.
077_00	ஆகவே, நீங்கள் இரு சாராரும் உங்கள் (இரு சாராருடைய) இறைவனின் அருட்கொடைகளில் எதைப் பொய்யாக்குவீர்கள்?
078_00	மிக்க சிறப்பும், கண்ணியமுமுள்ள உம்முடைய இறைவனின் திருப்பெயர் மிகவும் பாக்கிய முடையது.
