001_00	¡Vosotros que creéis!
005_02	libres y honestas de los que recibieron el Libro antes que vosotros, si les dais sus dotes como casados, no como fornicadores
005_03	ni como los que toman amantes.Y quien niegue la creencia, habrá perdido sus obras y en la Última Vida será de los perdedores.
006_00	¡Vosotros que creéis! Cuando vayáis a hacer el salat, lavaos la cara y las manos llegando hasta los codos
006_01	y pasaos las manos por la cabeza y (la mano) por los pies hasta los tobillos*.Y si estáis impuros,
006_02	purificaos. Y si estáis enfermos o no encontráis agua, estando de viaje o viniendo alguno de vosotros de hacer
006_03	sus necesidades o habiendo tenido relación con las mujeres, procuraos entonces tierra buena y pasáosla por la cara y
006_04	las manos.Allah no quiere poneros ninguna dificultad, sólo quiere que os purifiquéis y completar Su bendición sobre vosotros, para que podáis ser agradecidos.
007_00	Y recordad la bendición de Allah para con vosotros y el compromiso que adquirísteis con Él, al decir:
007_01	Oímos y obedecemos.Y temed a Allah, es cierto que Allah es Conocedor de lo que encierran los pechos.
008_00	¡Vosotros que creéis! Sed firmes en favor de Allah, dando testimonio con equidad.
008_01	Y que el odio que podáis sentir por unos, no os lleve al extremo de no ser justos. ¡Sed justos! Eso se acerca más a la temerosidad.Y temed a Allah, es cierto que Él conoce perfectamente lo que hacéis.
009_00	Allah ha prometido a los que crean y practiquen las acciones de bien que tendrán perdón y una enorme recompensa.
010_00	Y quienes se niegan a creer y tachan de mentira Nuestros signos, esos son los compañeros del Yahim.
011_00	¡Vosotros que creéis!
011_01	Recordad las bendiciones de Allah para con vosotros, cuando algunos pretendían alargar sus manos contra vosotros y Él las apartó.Temed a Allah, en Allah se confían los creyentes.
012_00	Y en verdad que Allah exigió la alianza a los hijos de Israel.
012_01	Y de ellos erigimos a doce jefes de tribu.Y dijo Allah: Yo estoy con vosotros.
012_02	Si establecéis el salat, entregáis el zakat*, creéis en Mis mensajeros y estáis con ellos y le hacéis a Allah un hermoso préstamo...Tened por cierto que ocultaremos vuestras malas acciones y os introduciré en jardines por los que corren los ríos.Y quien de vosotros, después de esto, reniegue, se habrá extraviado del camino llano.
013_00	Y porque rompieron su compromiso los maldijimos y endurecimos sus corazones.Tergiversaron las palabras* y olvidaron parte de lo que con ellas se les recordaba.No cesarás de descubrir traiciones
013_01	por su parte, a excepción de unos pocos, pero perdónalos y no se lo tomes en cuenta; es cierto que Allah ama a los que hacen el bien.*
014_00	Y a algunos de los que dicen: Somos cristianos, les exigimos la alianza, sin embargo olvidaron parte de lo que se les recordaba en ella y sembramos la enemistad y el odio entre ellos hasta el Día del Levantamiento.
014_01	Ya les hará saber Allah lo que hicieron.
015_00	¡Gente del Libro!
015_01	Ha venido a vosotros Nuestro mensajero aclarándoos mucho de lo que ocultabais del Libro y perdonando muchas cosas.Ha venido a vosotros, procedente de Allah, una luz y un Libro claro.
016_00	Con el que Allah guía a quien busca Su complacencia por los caminos de la salvación.Y los saca de las tinieblas a la luz con Su permiso y los guía al camino recto.
017_00	Han caído en incredulidad los que dicen que Allah es el Ungido, hijo de Maryam.Di: ¿Y si Allah quisiera destruir al Ungido, hijo de Maryam, a su madre y a cuantos hay en la tierra, todos a la vez?
017_01	¿Quién podría impedírselo?
017_02	De Allah es el Dominio de los cielos y de la tierra y de lo que hay entre ambos. Crea lo que quiere, Allah es Poderoso sobre todas las cosas.
018_00	Y dicen los judíos y los cristianos: Nosotros somos los hijos de Allah y los más amados por Él.Di: ¿Por qué entonces os castiga a causa de vuestras transgresiones?
018_01	Sólo sois unos más entre los hombres que ha creado.Perdona a quien quiere y castiga a quien quiere.De Allah es el Dominio de los cielos y de la tierra y de lo que hay entre ambos. A Él se ha de volver.
019_00	¡Gente del Libro!
019_01	Os ha llegado Nuestro mensajero para aclararos las cosas, tras un período de tiempo sin mensajeros, de manera que no pudierais decir: No nos ha llegado nadie que nos trajera buenas noticias y nos advirtiera.Así pues, ahora ya tenéis un portador de buenas nuevas y un advertidor.Allah es Poderoso sobre todas las cosas.
020_00	Y cuando Musa dijo a su gente: ¡Pueblo mío!
020_01	Recordad las bendiciones que Allah os dio cuando hizo surgir entre vosotros profetas, os hizo reyes y os dio lo que a nadie en los mundos le había dado.
021_00	¡Pueblo mío! Entrad en la tierra purificada que Allah ha destinado para vosotros y no retrocedáis, porque entonces estaríais perdidos.
022_00	Dijeron: ¡Musa! En ella hay un pueblo de gigantes y no vamos a entrar hasta que no salgan de allí; y sólo cuando hayan salido entraremos.
023_00	Dos hombres de los que temían a Allah y a los que Él había favorecido, dijeron: Apareced ante
023_01	ellos por la puerta, y cuando hayáis entrado por ella, seréis vencedores.Y abandonaos en Allah si sois creyentes.
024_00	Dijeron: ¡Musa! Nosotros no vamos a entrar mientras ellos sigan ahí, así que id tú y tu Señor y luchad vosotros, que nosotros nos quedamos aquí.
025_00	Dijo: ¡Señor mío! Yo sólo tengo autoridad sobre mi propia persona y la de mi hermano; apártanos de la gente rebelde.
026_00	Dijo: Estará vedada* para ellos, y durante cuarenta años vagarán por la tierra.No te entristezcas por la gente descarriada.
027_00	Y cuéntales la verdad de la historia de los dos hijos de Adam, cuando ofrecieron un sacrificio y le fue aceptado a uno pero al otro no.
027_01	Dijo: ¡Te mataré!Contestó: Allah sólo acepta de los que Le temen.
028_00	Si levantas tu mano contra mí para matarme, yo no levantaré la mía para matarte, pues yo temo a Allah, el Señor de los mundos.
029_00	Prefiero que vuelvas* llevando mi delito además del tuyo y seas de los compañeros del Fuego.Esa es la recompensa de los injustos.
030_00	Su alma le sugirió que matara a su hermano y lo mató, convirtiéndose en uno de los perdidos.
031_00	Entonces Allah envió un cuervo que se puso a escarbar en la tierra para hacerle ver cómo debía ocultar el cadáver de su hermano.Dijo: ¡Ay de mí!
031_01	¿Es que no voy a ser capaz de hacer como este cuervo y enterrar el cadáver de mi hermano?Y quedó así arrepentido.
032_00	Por esto les decretamos a los hijos de Israel que quien matara a alguien, sin ser a cambio de otro o por haber corrompido en
032_01	la tierra, sería como haber matado a la humanidad entera. Y quien lo salvara, sería como haber salvado a la humanidad entera.Y así fue como
032_02	les llegaron Nuestros mensajeros con las pruebas claras y sin embargo, después, y a pesar de esto, muchos de ellos se excedieron en la tierra.
033_00	El pago para los que hagan la guerra a Allah y a Su Mensajero y se dediquen a corromper en la tierra, será la muerte o la crucifixión o que se les corte la mano y el pie contrario o que se les expulse del país.
033_01	Esto es para ellos una humillación en esta vida, pero en la Última tendrán un inmenso castigo.
034_00	Excepto los que se vuelvan atrás antes de que os hayáis apoderado de ellos.Sabed que Allah es Perdonador y Compasivo.
035_00	¡Vosotros que creéis! Temed a Allah, buscad el medio de acercaros a Él y luchad en Su camino para que así podáis tener éxito.
036_00	Es cierto que los que se niegan a creer, aunque tuvieran todo cuanto hay en la tierra
036_01	para ofrecerlo como rescate y librarse con ello del castigo del Día del Levantamiento, no se aceptaría.
037_00	Querrán salir del Fuego, pero no saldrán. Tendrán un castigo permanente.
038_00	Al ladrón y a la ladrona cortadles la mano en pago por lo que hicieron. Escarmiento de Allah; Allah es Poderoso y Sabio.
039_00	Quien se retracte después de la injusticia que cometió y rectifique, Allah volverá a él.Es cierto que Allah es Perdonador y Compasivo.
040_00	¿Acaso no sabes que el dominio de los cielos y de la tierra pertenece a Allah? Castiga a quien quiere y perdona a quien quiere. Allah tiene poder sobre todas las cosas.
041_00	¡Mensajero!
041_01	Que no te entristezcan aquéllos que se precipitan a la incredulidad, de entre los que dicen con la boca "creemos" pero no creen sus corazones; y los que siguen el judaísmo.Prestan oídos a la mentira y escuchan a otros que no vienen a ti.
041_02	Tergiversan las palabras* diciendo: Si se juzga de esta manera tomadlo, pero si no, rechazadlo.* Y aquel cuya perdición es voluntad de Allah, tu no tienes nada que hacer por él ante Allah.Esos son aquéllos cuyos corazones Allah no quiere que se purifiquen.
041_03	En esta vida tendrán humillación y en la Última un castigo inmenso.
042_00	Prestan oído a la mentira y se comen la ganancia ilícita.
042_01	Si vienen a ti, juzga entre ellos o abstente de intervenir. Si te abstienes, no te perjudicarán en absoluto; y si juzgas, hazlo con ecuanimidad.Es cierto que Allah ama a los ecuánimes.
043_00	¿Y cómo van a delegar en ti el juicio, si tienen la Torá en la que está el juicio de Allah y, a pesar de ello, se desentienden? Esos no son los creyentes.
044_00	Es cierto que hicimos descender la Torá, en la que hay guía y luz.
044_01	Con ella emitían juicios los profetas, aquéllos que se sometieron, así como los rabinos y doctores para los que practicaban el judaísmo; siguiendo el mandato de proteger el libro de Allah, del que eran garantes con su testimonio.Y no temáis a los hombres, temedme a Mí, ni vendáis Mis signos a bajo precio.
044_02	Aquel que no juzgue según lo que Allah ha hecho descender... Esos son los incrédulos.
045_00	En ella les prescribimos: Persona por persona, ojo por ojo, nariz por nariz, oreja por oreja, diente por diente; y por las heridas un castigo compensado. Quien renuncie por generosidad*, le servirá de remisión.
045_01	Quien no juzgue según lo que Allah ha hecho descender.... Esos son los injustos.
046_00	E hicimos que tras ellos, siguiendo sus huellas, viniera Isa, hijo de Maryam, confirmando aquello que ya estaba en la Torá.
046_01	Y le dimos el Inyil en el que había guía, luz y una confirmación de lo que ya estaba en la Torá, así como guía y amonestación para los temerosos.
047_00	Que la gente del Inyil juzgue según lo que Allah ha hecho descender en él. Quien no juzgue según lo que Allah ha hecho descender... Esos son los descarriados.
048_00	E hicimos que te descendiera el Libro con la verdad, como confirmación de lo que había en el Libro y para preservarlo; así pues, juzga entre ellos según
048_01	lo que Allah ha hecho descender, y no sigas sus deseos en contra de la verdad que te ha venido.A cada uno* de vosotros le hemos asignado un
048_02	camino y un método propios.Si Allah hubiera querido habría hecho de vosotros una única comunidad; sin embargo lo ha hecho así para poneros a prueba en lo que
048_03	os ha dado.Y competid en las buenas acciones. Todos habéis de volver a Allah que os hará saber la verdad de aquello sobre lo que no estabais de acuerdo.
049_00	Juzga entre ellos según lo que Allah ha hecho descender, no sigas sus deseos y ten cuidado con ellos, no sea que te desvíen de algo de lo que Allah te ha hecho descender.Y si se apartan...
049_01	Allah quiere afligirlos a causa de algunas de sus faltas. Realmente muchos de los hombres están descarriados.
050_00	¿Acaso quieren que se juzgue con el juicio de la ignorancia*?¿Y qué mejor juez sino Allah, para los que saben con certeza?
051_00	¡Vosotros que creéis!
051_01	No toméis por aliados a los judíos ni a los cristianos; unos son aliados de otros. Es cierto que Allah no guía a los injustos.
052_00	Ves cómo los que tienen una enfermedad en el corazón van a ellos corriendo y dicen: Tememos que la suerte nos sea adversa.Pero puede
052_01	ser que Allah te traiga la victoria o una orden Suya y entonces tengan que arrepentirse de lo que guardaron secretamente en su corazones.
053_00	Los que creen dicen: ¿Son éstos quienes juraron por Allah con la máxima solemnidad en sus juramentos que estarían con vosotros? Sus obras serán inútiles y perderán.
054_00	¡Vosotros que creéis! Quien de vosotros reniegue de su Práctica de Adoración...
054_01	Allah traerá a otros a los que amará y por los que será amado, humildes con los creyentes y altivos con los incrédulos. Lucharán en el camino de Allah y no temerán la calumnia del maldiciente.
054_02	Ese es el favor de Allah que Él da a quien quiere. Y Allah es Espléndido, Conocedor.
055_00	Realmente vuestro amigo y aliado es Allah, y Su mensajero, y lo son los creyentes, esos que establecen el salat, entregan el zakat y se inclinan*.
056_00	Y quien toma por aliado a Allah, a Su mensajero y a los que creen... Los del partido de Allah serán los vencedores.
057_00	¡Vosotros que creéis!
057_01	No toméis como amigos aliados a aquéllos de los que recibieron el Libro antes que vosotros y de los incrédulos que tomen vuestra Práctica de Adoración a burla y juego. Y temed a Allah, si sois creyentes.
058_00	Cuando llamáis al salat lo toman a burla y juego. Eso es porque son gente que no comprende.
059_00	Di: ¡Gente del Libro! ¿Qué es lo que nos reprocháis? ¿Que creamos en Allah, en lo que se nos ha revelado y en lo que fue revelado anteriormente?La mayoría de vosotros estáis fuera del camino.
060_00	Di: ¿Queréis que os diga algo peor que eso?El pago que tiene reservado Allah para aquellos a quienes maldijo, ésos sobre los que cayó Su ira y de los cuales, hubo unos a los que convirtió en monos y en cerdos y adoraron al Rebelde.
060_01	Esos tienen un mal lugar y son los que más se han extraviado del camino llano.
061_00	Cuando vienen a vosotros dicen: creemos. Pero con incredulidad entraron y con ella salen.Allah sabe mejor lo que están ocultando.
062_00	Verás cómo muchos de ellos se precipitan al delito y a la transgresión y se comen la ganancia ilícita.¡Qué malo es lo que hacen!
063_00	¿Por qué no les prohíben los rabinos y los doctores mentir y comerse la ganancia ilícita?¡Qué malo es lo que hacen!
064_00	Dicen los judíos: La mano de Allah está cerrada. ¡Que se cierren las suyas y sean malditos por lo que dicen!
064_01	Por el contrario Sus dos manos están abiertas, (extendidas), y gasta como quiere. Lo que tu Señor ha hecho que te descendiera, a muchos de ellos les aumentará en rebeldía e incredulidad.
064_02	Hemos sembrado entre ellos la enemistad y la ira hasta el Día del Levantamiento. Cada vez que enciendan un fuego para la guerra, Allah lo apagará. Se afanan por corromper en la tierra, pero Allah no ama a los corruptores.
065_00	Si la gente del Libro creyera y se guardara, haríamos desaparecer sus malas acciones y les haríamos entrar en los Jardines de la Delicia.
066_00	Y si siguieran y pusieran en práctica la Torá y el Inyil y lo que ha descendido para ellos de su Señor, comerían tanto de lo que está por encima de ellos como de lo que tienen bajo los pies.
066_01	Los hay que forman una comunidad equilibrada, pero muchos de ellos, ¡qué malo es lo que hacen!
067_00	¡Mensajero! Haz llegar lo que te ha descendido de tu Señor.
067_01	Y si no lo haces del todo, entonces no habrás transmitido Su mensaje. Allah te protegerá de los hombres.Es cierto que Allah no guía a la gente incrédula.
068_00	Di: ¡Gente del Libro!
068_01	No tendréis nada hasta que no sigáis y pongáis en práctica la Torá y el Inyil y lo que, procedente de vuestro Señor, os ha descendido.Hay muchos de ellos a quienes lo que tu Señor ha hecho descender, les hace tener más rebeldía e incredulidad. Pero no te entristezcas por la gente injusta.
069_00	Es cierto que aquéllos que han creído y los judíos, sabeos y cristianos que crean en Allah y en el Último Día y obren con rectitud, no tendrán que temer ni se entristecerán.
070_00	Exigimos la alianza a los hijos de Israel y les enviamos mensajeros.
070_01	Cada vez que les llegaba un mensajero que traía lo que sus almas no deseaban, lo negaban o lo mataban.
071_00	Pensaron que no sufrirían ninguna prueba y se cegaron y ensordecieron. Después Allah volvió a ellos pero muchos se cegaron de nuevo y se ensordecieron. Allah ve lo que hacen.
072_00	Realmente han caído en incredulidad quienes dicen: Allah es el Ungido, hijo de Maryam. Cuando fue el Ungido quien dijo a los hijos de Israel: ¡Adorad a Allah!
072_01	Mi Señor y el vuestro. Quien asocie algo con Allah, Allah le vedará el Jardín y su refugio será el Fuego. No hay quien auxilie a los injustos.
073_00	Y han caído en incredulidad los que dicen: Allah es el tercero de tres, cuando no hay sino un
073_01	Único Dios.Si no dejan de decir lo que dicen, ésos que han caído en la incredulidad tendrán un castigo doloroso.
074_00	¿Es que no van a volverse hacia Allah y Le van a pedir perdón? Allah es Perdonador y Compasivo.
075_00	El Ungido, hijo de Maryam, no es mas que un mensajero antes del cual ya hubo otros mensajeros.
075_01	Su madre era una mujer veraz y ambos comían alimentos. Mira cómo les hacemos claros los signos y mira cómo luego inventan.
076_00	Di: ¿Adoraréis aparte de Allah lo que no puede traeros ni perjuicio ni beneficio? Allah es Quien oye y Quien sabe.
077_00	Di: ¡Gente del Libro!
077_01	No deforméis la verdad de las cosas en vuestra Práctica de Adoración; y no sigáis los deseos de unos que se extraviaron antes e hicieron que muchos se extraviaran y se alejaron del camino llano.
078_00	Los hijos de Israel que cayeron en la incredulidad fueron maldecidos por boca de Daud y de Isa, hijo de Maryam. Esto les pasó porque desobedecieron y fueron más allá de los límites.
079_00	No se impedían entre ellos ninguna acción reprobable. ¡Qué malo es lo que hacían!
080_00	Ves a muchos de ellos intimar con los incrédulos. ¡Qué malo es lo que sus almas han preparado! Allah se ha enojado con ellos y serán inmortales en el castigo.
081_00	Si creyeran en Allah, en el Profeta y en lo que se les ha hecho descender no los tomarían como aliados, sin embargo muchos de ellos están fuera del camino.
082_00	Y seguro que encontrarás que la gente con enemistad más fuerte hacia los que creen son los judíos
082_01	y los que asocian; mientras que encontrarás que los que están más próximos en afecto a los que
082_02	creen, son los que dicen: Somos cristianos. Eso es porque entre ellos hay sacerdotes y monjes y no son soberbios.
083_00	Cuando oyen lo que se le ha hecho descender al Mensajero, ves sus ojos inundados de lágrimas por la verdad que reconocen y dicen: ¡Señor nuestro!
083_01	Creemos, escribe nuestros nombres con los que dan testimonio.
084_00	¿Por qué no íbamos a creer en Allah y en la verdad que nos ha llegado si ansiamos que nuestro Señor nos haga entrar en la compañía de los justos?
085_00	Allah los recompensará por lo que dicen con jardines por cuyo suelo corren los ríos, donde serán inmortales.Esa es la recompensa de los bienhechores.
086_00	Y los que se niegan a creer y tachan de mentira Nuestros signos, ésos son los compañeros del Yahim.
087_00	¡Vosotros que creéis! No hagáis ilícitas las cosas buenas que Allah os ha permitido y no transgredáis.Allah no ama a los transgresores.
088_00	Y comed de aquello que Allah os da, lícito y bueno; y temed a Allah en Quien sois creyentes.
089_00	Allah no os toma en cuenta los juramentos frívolos, pero sí os toma en cuenta los juramentos con los que
089_01	intencionadamente os comprometéis.Como reparación, alimentaréis a diez pobres según el término medio con el que alimentéis a vuestra familia, o
089_02	los vestiréis o liberaréis a un siervo. Quien no encuentre medio de hacerlo, que ayune tres días. Esta es la
089_03	reparación por los juramentos que hagáis; y tened cuidado con vuestros juramentos.Así os explica Allah Sus signos para que podáis agradecer.
090_00	¡Vosotros que creéis! Ciertamente el vino, el juego de azar, los altares de sacrificio y las flechas adivinatorias son una inmundicia procedente de la actividad del Shaytán; apartaos de todo ello y podréis tener éxito.
091_00	Realmente el Shaytán quiere desencadenar entre vosotros la enemistad y el odio, sirviéndose del vino
091_01	y del juego de azar, y así apartaros del recuerdo de Allah y del salat.¿No desistiréis?
092_00	Y obedeced a Allah, obedeced al Mensajero y tomad precauciones. Y si os apartáis, sabed que a Nuestro mensajero sólo le incumbe hacer llegar el mensaje con claridad.
093_00	Y los que creen y practican las acciones de bien, no incurren en falta por lo que hayan probado antes, siempre que se guarden, crean y lleven
093_01	a cabo las acciones de bien, y luego se guarden y crean, y aún se guarden y hagan el bien.Allah ama a los que hacen el bien.
094_00	¡Vosotros que creéis!
094_01	Allah os pone a prueba con parte de la caza que obtenéis por vuestras manos y lanzas* para que Allah sepa quien, sin verlo, Le teme... Quien vaya más allá de esto, tendrá un castigo doloroso.
095_00	¡Vosotros que creéis! No matéis a los animales que se cazan mientras estéis en situación de inviolabilidad.Y quien de vosotros lo haga a
095_01	propósito, que lo compense sacrificando una res equivalente al animal que mató, sometiéndolo a la decisión de dos de vosotros que sean justos,
095_02	como ofrenda dirigida a la Ka´ba; o que lo repare alimentando pobres o ayunando en términos equivalentes para que así experimente las malas
095_03	consecuencias de su acto.Allah os borra lo que hayáis consumado, pero quien reincida, Allah se vengará de él. Y Allah tiene poder y venganza.
096_00	Os está permitido pescar y que comáis de lo que hayáis pescado, como disfrute para vosotros y para los viajeros;
096_01	pero no os está permitido cazar mientras estéis dentro del estado de inviolabilidad.Y temed a Allah hacia Quien seréis reunidos.
097_00	Allah ha instituido la Ka´ba, la Casa Inviolable, como un pilar para los hombres, así como los meses inviolables, las ofrendas y las guirnaldas.
097_01	Esto es para que sepáis que Allah conoce lo que hay en los cielos y en la tierra y que Allah es Conocedor de todas las cosas.
098_00	Y sabed que Allah es Fuerte en el castigo y que Allah es Perdonador y Compasivo.
099_00	Al Mensajero sólo le incumbe hacer llegar el mensaje; pero Allah sabe lo que mostráis y lo que ocultáis.
100_00	Di: Aunque te asombre su abundancia, lo malo nunca será igual que lo bueno.Y temed a Allah, vosotros que sabéis reconocer lo esencial, para que así podáis tener éxito.
101_00	¡Vosotros que creéis!
101_01	No preguntéis por cosas que si se os revelaran os harían mal. Pero si preguntáis en el momento en que descienda el Corán a propósito de ellas, entonces se os mostrarán.Allah os ha perdonado por ellas y Allah es Perdonador e Indulgente.
102_00	Ya hubo antes que vosotros quien hizo esas preguntas y después no quisieron aceptarlas.
103_00	Allah no ha dispuesto ninguna Bahira ni Saiba ni Wasila ni Ham*.
103_01	Sin embargo los que no quieren creer inventan mentiras sobre Allah.La mayoría de ellos no razona.
104_00	Y cuando se les dice: Venid a lo que Allah ha hecho descender y al Mensajero, dicen: Tenemos bastante
104_01	con aquello en lo que encontramos a nuestros padres.¿Y si sus padres no sabían nada y carecían de guía?
105_00	¡Vosotros que creéis! Preocupados por guardaros a vosotros mismos.
105_01	Nadie que se extravíe podrá perjudicaros si estáis guiados. A Allah habréis de volver todos y os hará saber lo que hicisteis.
106_00	¡Vosotros que creéis! Que haya testigos entre vosotros en el momento del testamento cuando a alguno se le presente la muerte.Dos de
106_01	los vuestros que sean justos u otros distintos, si estáis de viaje por la tierra y os sobreviene la circunstancia de la
106_02	muerte. Haced que se queden después del salat y si tenéis dudas, haced que juren por Allah: "No lo venderemos a ningún
106_03	precio ni por nadie, aunque fuera un pariente próximo, y no ocultaremos el testimonio de Allah pues, en ese caso, estaríamos entre los transgresores".
107_00	Y si se descubre que son acreedores de alguna maldad, que otros dos, de entre los que tengan más derecho, ocupen su lugar
107_01	y juren: "Por Allah que nuestro testimonio es más verídico que el de ellos y no hemos transgredido pues, en ese caso, seríamos injustos".
108_00	Esto es lo que más se ajusta a que den un testimonio verdadero o teman que vuelva a
108_01	haber otro juramento después del suyo.Y temed a Allah y escuchad, Allah no guía a la gente descarriada.
109_00	El día que Allah reúna a los Mensajeros y diga: ¿Cómo os respondieron? Dirán: No tenemos conocimiento pues Tú eres el Conocedor de las cosas ocultas.
110_00	Cuando Allah dijo a Isa hijo de Maryam: Recuerda Mi bendición sobre ti y sobre tu madre cuando te ayudé con el
110_01	Espíritu Puro* para que hablaras a los hombres estando en la cuna; y en la madurez.Y cuando te enseñé el Libro y
110_02	la Sabiduría, la Torá y el Inyil y cuando, a partir de barro, creaste algo con forma de ave con Mi permiso
110_03	y sanaste al ciego de nacimiento y al leproso con Mi permiso.Y por haberte protegido de los hijos de Israel, cuando fuiste
110_04	a ellos con las pruebas claras y los que de ellos se habían negado a creer dijeron: Esto no es mas que magia evidente.
111_00	Y cuando inspiré a los apóstoles a que creyeran en Mí y en Mi mensajero, dijeron: Creemos y atestiguamos que estamos sometidos.
112_00	Y cuando dijeron los apóstoles: ¡Isa, hijo de Maryam!
112_01	¿Puede tu Señor bajar del cielo una mesa servida para nosotros?Dijo: Temed a Allah si sois creyentes.
113_00	Dijeron: Queremos comer de ella, tranquilizar nuestros corazones, saber que nos has dicho la verdad y ser de los que dan testimonio de ello.
114_00	Dijo Isa, hijo de Maryam: ¡Allah, Señor nuestro!
114_01	Haz que baje a nosotros una mesa servida procedente del cielo que sea para nosotros una conmemoración desde el primero hasta el último así como un signo procedente de Ti; y provéenos, pues Tú eres el mejor de los que proveen.
115_00	Dijo Allah: La haré bajar para vosotros, pero al que después de esto reniegue, lo castigaré con un castigo que nadie en los mundos habrá conocido.
116_00	Y cuando Allah dijo: ¡Isa, hijo de Maryam!
116_01	¿Has dicho tú a los hombres: Tomadme a mi y a mi madre como dioses aparte de Allah?Dijo: ¡Gloria a Ti!
116_02	No me pertenece decir aquello a lo que no tengo derecho! Si lo hubiera dicho, Tú ya lo sabrías. Tú sabes lo que hay en mí, pero yo no sé lo que hay en Ti.Es cierto que Tú eres el Conocedor de lo más recóndito.
117_00	Sólo les dije lo que me ordenaste: ¡Adorad a Allah, mi Señor y el vuestro!
117_01	Y he sido testigo de ellos mientras permanecí en su compañía.Y cuando me llevaste a Ti, Tú eras Quien los observaba, Tú eres Testigo de todas las cosas.
118_00	Si los castigas... Son Tus siervos; y si los perdonas... Tú eres ciertamente el Poderoso, el Sabio.
119_00	Dijo Allah: Este es el día en que beneficiará a los veraces su veracidad; tendrán jardines por cuyo suelo corren
119_01	los ríos donde serán inmortales para siempre.Allah estará satisfecho de ellos y ellos lo estarán de Él.Ese es el gran triunfo.
120_00	De Allah es la soberanía de los cielos y de la tierra y de lo que hay entre ambos.Él es el que tiene poder sobre todas las cosas.
