001_00	Ta, Ha*.
053_00	Él os ha puesto la tierra como asiento y os ha trazado en ella caminos. Hace descender agua desde el cielo para que con ella broten especies de plantas diversas.
054_00	¡Comed y apacentad vuestros rebaños! Es cierto que en ello tenéis signos para los que poseen inteligencia.
055_00	De ella os creamos, a ella os devolveremos y de ella os haremos salir de nuevo.
056_00	Y realmente le hicimos ver Nuestros signos todos, pero negó su verdad y no quiso saber nada.
057_00	Dijo: ¿Habéis venido a nos para echarnos de nuestra tierra con tu magia, Musa?
058_00	Vamos a traerte una magia similar, fija una cita entre nosotros a la que ni tú ni nosotros faltemos y que sea en un lugar intermedio.
059_00	Dijo: La cita que pedís será el día de fiesta; que la gente se reúna por la mañana.
060_00	Firaún dio la espalda y reunió su estratagema, luego acudió.
061_00	Musa les dijo: ¡Ay de vosotros! No inventéis ninguna mentira contra Allah pues Él os destruiría con un castigo. Verdaderamente todo el que fabrica falsedades fracasa.
062_00	Entonces deliberaron entre ellos su plan y guardaron secreto.
063_00	Dijeron: Realmente estos son dos magos que quieren echaros de vuestra tierra con su magia y acabar así con vuestra forma de vida sin igual.
064_00	Así pues reunid vuestra astucia y luego venid en filas. Hoy, quien sobresalga, triunfará.
065_00	Dijeron: ¡Musa! Tira tú o lo haremos nosotros primero.
066_00	Dijo: ¡Tirad! Y entonces sus cuerdas y bastones, por la magia que habían utilizado, le crearon la ilusión de que reptaban.
067_00	Y Musa sintió miedo en su interior.
068_00	Dijimos: No tengas miedo, tú eres el más alto.
069_00	Arroja lo que tienes en la mano derecha y se tragará lo que han manipulado, pues no es más que un truco de mago y el que usa la magia, venga de donde venga, no tendrá éxito.
070_00	Entonces los magos cayeron postrados y dijeron: "Creemos en el Señor de Harún y Musa".
071_00	Dijo: ¿Creéis en él sin que yo os haya dado permiso?Ahora veo que él es vuestro maestro, el que os ha enseñado la magia.
071_01	Os cortaré una mano y un pie del lado contrario y os crucificaré en un tronco de palmera. Así sabréis de verdad quién de nosotros castiga con más severidad y duración.
072_00	Dijeron: No te preferimos a las evidencias que nos han llegado y a Quien nos creó, decide pues lo que tengas que decidir pues tú sólo decides en esta vida de aquí.
073_00	Nosotros creemos en nuestro Señor para que nos perdone las faltas y la magia a la que nos forzaste. Allah es mejor y permanece.
074_00	Es cierto que quien llega hasta su Señor siendo de los que han hecho el mal, tendrá Yahannam donde ni vivirá ni morirá.
075_00	Pero quien llegue a Él siendo creyente y habiendo practicado las acciones de rectitud tendrán los grados más altos.
076_00	Los jardines de Adn por cuyo suelo corren los ríos, allí serán inmortales. Esa es la recompensa de quien se purifica.
077_00	Verdaderamente inspiramos a Musa: Vete de noche llevándote a Mis siervos y ábreles un camino seco en el mar y no tengas miedo de que te alcancen ni tengas temor.
078_00	Firaún los siguió con sus ejércitos y ¡cómo los cubrió el mar!
079_00	Firaún extravió a su gente y no la guió.
080_00	¡Hijos de Israel! Os salvamos de vuestro enemigo y os dimos cita en la ladera derecha del monte e hicimos que descendiera sobre vosotros el maná y las codornices.
081_00	¡Comed de las cosas buenas que os damos como provisión y no abuséis de ello, pues entonces se desataría Mi enojo sobre vosotros y aquel sobre quien se desata Mi enojo cae en lo más bajo.
082_00	Y es cierto que Yo soy Indulgente con el que se vuelve a Mí, cree, actúa con rectitud y se guía.
083_00	¿Y qué te hizo adelantarte a tu gente, Musa?
084_00	Dijo: Ellos iban siguiendo mis huellas y me adelanté a Tu encuentro, Señor, buscando Tu complacencia.
085_00	Dijo: Es cierto que, en tu ausencia, hemos puesto a prueba a tu gente y el Samirí los ha extraviado.
086_00	Entonces Musa regresó a su gente enojado y dolido, y dijo: ¡Gente mía! ¿Acaso no os hizo vuestro Señor una hermosa promesa?
086_01	¿Se os ha hecho largo el plazo o es que queréis que el enojo de vuestro Señor caiga sobre vosotros? Habéis incumplido lo que me prometisteis.
087_00	Dijeron: No hemos faltado a la promesa que te hicimos por iniciativa propia sino que nos hicieron cargar con el peso de las alhajas de la gente y las arrojamos como hizo el Samirí*.
088_00	Y les hizo la figura de un becerro que mugía. Dijeron: Este es vuestro dios y el dios que Musa olvidó.
089_00	¿Es que no veían que no les contestaba, ni tenía el poder de perjudicarles o beneficiarles?
090_00	Harún ya les había advertido: ¡Gente mía! Con esto sólo se os está poniendo a prueba, realmente vuestro Señor es Misericordioso, seguidme y obedeced lo que os mando.
091_00	Dijeron: No vamos a cesar de estar dedicados a su culto hasta que no regrese Musa a nosotros.
092_00	Dijo: ¡Harún! ¿Qué te impidió seguirme al ver que se extraviaban?
093_00	¿Es que desobedeciste mi orden?
094_00	Dijo: ¡Hijo de mi madre! No me agarres por la barba ni por la cabeza, de verdad que temí que dijeras: Has creado separación entre los hijos de Israel y no has esperado mi palabra.
095_00	Dijo: Y tú Samirí, ¿qué tienes que decir?
096_00	Dijo: He visto lo que ellos no ven, así que he tomado un puñado de la tierra en la que dejó sus huellas el mensajero y lo he arrojado. Esto es lo que me ha sugerido mi alma.*
097_00	Dijo: ¡Vete! Durante toda tu vida tendrás que decir: No me toques*.
097_01	Y tienes una cita a la que no faltarás. Mira a tu dios, ése al que te entregaste, lo quemaremos y esparciremos sus cenizas por el mar.
098_00	Ciertamente vuestro dios no es sino Allah, no hay más dios que Él, abarca todas las cosas con Su conocimiento.
099_00	Así es como te contamos algunas de las noticias de lo que pasó antes Te hemos dado un recuerdo procedente de Nos.
100_00	Quien se aparte de él... El Día del Levantamiento llevará una carga.
101_00	En la que serán inmortales. Y qué mala carga será la suya en el Día del Levantamiento.
102_00	El día que se soplará en el cuerno y en el que reuniremos a los malhechores que, ese día, tendrán los ojos en blanco y el rostro ennegrecido.
103_00	Hablarán entre ellos en voz baja: Sólo estuvimos diez (días).
104_00	Nosotros sabemos mejor lo que van a decir cuando el más certero de ellos diga: Sólo permanecimos un día.
105_00	Y te preguntan acerca de las montañas, di: Mi Señor las pulverizará por completo.
106_00	Y las dejará como llanuras lisas.
107_00	Sin que veas ningún altibajo en ellas.
108_00	Ese día seguirán una llamada, que no será posible eludir, y todas las voces se humillarán ante el Misericordioso. Sólo escucharás un murmullo.
109_00	Ese día ninguna intercesión servirá de nada a excepción de quien sea autorizado por el Misericordioso y su palabra sea aceptada.
110_00	Él conoce lo que tienen por delante y lo que tienen detrás, ellos no pueden abarcarlo con su conocimiento.
111_00	Todos los rostros se humillarán ante el Viviente, el Sustentador, y habrá perdido quien lleve injusticia.
112_00	Pero quien practique las acciones de rectitud y sea creyente que no tema injusticia ni menoscabo.
113_00	Así es como lo hemos hecho descender, como una recitación árabe y hemos reiterado en él promesas amenazantes por si se guardaban o les servía de exhortación.
114_00	Y exaltado sea Allah, el Rey verdadero. Y no te adelantes recitando antes de tiempo aquello del Corán que esté descendiendo sobre tí. Y di: ¡Señor! Concédeme más conocimiento.
115_00	Ya hicimos antes un pacto con Adam, pero olvidó y no le encontramos resolución.
116_00	Y cuando dijimos a los ángeles: Postraos ante Adam, y se postraron. Sin embargo Iblis se negó.
117_00	Y dijimos: ¡Adam! Realmente él es un enemigo para ti y para tu pareja, que no os saque del Jardín pues conocerías la penalidad.
118_00	Verdaderamente en él no sentirás ni hambre ni desnudez.
119_00	Ni tampoco sufrirás la sed y el calor.
120_00	Pero el Shaytán le susurró diciéndole: ¡Adam! ¿Quieres que te diga cuál es el árbol de la inmortalidad y un dominio que no se acaba?
121_00	Y ambos comieron de él. Entonces se les mostraron sus partes pudendas y comenzaron a taparse con hojas del Jardín.Adam desobedeció a su Señor y malogró (lo que tenía).
122_00	Luego su Señor lo escogió, se volvió sobre él y lo guió.
123_00	Dijo: Descended ambos de él*, seréis mutuos enemigos.Y si os llega una guía procedente de Mí, quien siga Mi guía no se extraviará ni será desgraciado.
124_00	Pero quien se aparte de Mi recuerdo... Es cierto que tendrá una vida mísera y el Día del Levantamiento le haremos comparecer ciego.
125_00	Dirá: Señor mío: ¿Por qué me has hecho comparecer ciego, si antes podía ver.
126_00	Dirá: Del mismo modo que cuando te llegaron Nuestros signos los olvidaste, así hoy eres tú olvidado.
127_00	De esta forma pagaremos a quien se haya excedido y no haya creído en los signos de tu Señor. Y el castigo de la Última Vida es realmente más severo y más duradero.
128_00	¿No les sirve de guía ver cómo antes de ellos destruimos generaciones enteras por cuyas moradas caminan? Es cierto que en ello hay signos para gente dotada de inteligencia.
129_00	De no haber sido por una palabra previa de tu Señor y por la existencia de un plazo fijado, habría sido inevitable.
130_00	Ten pues paciencia con lo que dicen y glorifica a tu Señor con la alabanza que Le es debida antes de la salida del sol y antes
130_01	de su ocaso, así como en parte de las horas de la noche.Y en los (dos) extremos de la claridad diurna gloríficalo también, tal vez quedes satisfecho.
131_00	Y no dirijas tu mirada hacia los placeres que hemos dado a algunos de ellos como flor de la vida de este mundo para ponerlos a prueba.Y la provisión de tu Señor es mejor y más duradera.
132_00	Ordena a tu gente el salat y persevera en él. No te pedimos sustento, Nosotros te sustentamos. Y el buen fin pertenece al temor (de Allah).
133_00	Y dicen: ¿Cómo es que no nos trae un signo de su Señor? ¿Acaso no les llegó la evidencia de las primeras escrituras?
134_00	Si les hubiésemos destruido por medio de un castigo antes de su venida, habrían dicho: ¡Señor nuestro! ¿Por qué no enviaste algún mensajero de manera que hubiéramos podido seguir Tus signos antes de haber caído en la humillación y en la vergüenza?
135_00	Di: Todos estamos a la espera, así que seguid esperando que ya sabréis quiénes serán los compañeros del camino llano y quiénes tendrán guía.
