001_00	Ta, Sin, Mim.
060_00	Sea lo que sea lo que se os haya dado en disfrute como parte de la vida del mundo y su apariencia, lo que hay junto a Allah es mejor y más permanente. ¿Es que no vais a entender?
061_00	¿Acaso aquel al que le hemos dado una hermosa promesa que verá realizada es como aquel a quien le dejamos disfrutar el disfrute de la vida del mundo pero que luego el Día del Levantamiento es de los que tendrán que comparecer?
062_00	El día en que los llame y les diga: ¿Dónde están ésos que según afirmabais eran Mis asociados?
063_00	Dirán aquéllos irremediablemente sentenciados: Señor nuestro, a éstos que extraviamos, los extraviamos igual que nos extraviamos nosotros,
063_01	nos declaramos inocentes ante Ti, no era a nosotros a quienes adoraban.
064_00	Y se dirá: ¡Llamad a vuestros asociados! Entonces los llamarán pero no les responderán, y verán el castigo.¡Si hubieran seguido la guía!
065_00	El día en que los llame y diga: ¿Qué respondisteis a los enviados?
066_00	Ese día las noticias los cegarán y no se harán preguntas entre sí.
067_00	Quien se haya vuelto de sus faltas, haya creído y haya obrado con bien podrá ser de los que tengan éxito.
068_00	Tu Señor crea lo que quiere y elige (a quien quiere) mientras que ellos no tienen elección.¡Gloria a Allah y ensalzado sea por encima de lo que Le asocian!
069_00	Tu Señor sabe lo que esconden los pechos y lo que manifiestan.
070_00	Y Él es Allah, no hay dios sino Él, Suyas son las alabanzas en la Vida Primera y en la Última y Suyo es el juicio. A Él habéis de volver.
071_00	Di: ¿Qué os parecería si Allah hiciera que para vosotros fuera constantemente de noche hasta el Día del Levantamiento, qué dios que no fuera Allah podría traeros claridad? ¿Es que no prestáis atención?
072_00	Di: ¿Qué os parecería si Allah hiciera que para vosotros fuera de día constantemente hasta el Día del Levantamiento; qué dios que no fuera Allah os traería de nuevo la noche en la que podéis descansar? 
072_01	¿Es que no vais a ver?
073_00	Como parte de Su misericordia os dio la noche y el día para que en ella descansarais y en él buscarais Su favor; si pudierais agradecer.
074_00	El día en que los llame y diga: ¿Dónde están esos asociados que afirmabais?
075_00	Y saquemos un testigo de cada comunidad y digamos: Aportad vuestra prueba y sabed que la verdad pertenece a Allah; y entonces no podrán encontrar lo que inventaban.
076_00	Qarún era uno de la gente de Musa que abusó contra ellos.
076_01	Le habíamos dado tesoros cuyas llaves habrían hecho tambalearse a un grupo de hombres fuertes;
076_02	entonces le dijo su gente: No te regocijes pues realmente Allah no ama a los que se vanaglorian.
077_00	Busca en lo que Allah te ha dado la morada de la Última Vida sin olvidar tu parte en ésta, y haz el bien igual que Allah lo hace contigo
077_01	y no busques corromper la tierra; es cierto que Allah no ama a los corruptores.
078_00	Dijo: Lo que se me ha dado es gracias a un conocimiento que tengo.
078_01	¿Acaso no sabía que Allah había destruido a generaciones dentro de las cuales había gente con mayor poderío y más acumulación de riqueza que él?
078_02	Y no se esperará que los malhechores expliquen sus faltas.
079_00	Y apareció ante su pueblo con sus adornos; entonces dijeron los que querían la vida de este mundo: ¡Ojalá y tuviéramos lo mismo que se le ha dado a Qarún, realmente tiene una suerte inmensa!
080_00	Y dijeron aquéllos que habían recibido conocimiento: ¡Ay de vosotros! La recompensa de Allah es mejor para el que cree y actúa con rectitud, pero no la consiguen sino los pacientes.
081_00	Entonces hicimos que la tierra se lo tragara junto con su casa y no hubo ninguna guardia que pudiera socorrerle fuera de Allah ni pudo defenderse a sí mismo.
082_00	Los que el día anterior habían ansiado su posición, amanecieron diciendo: ¡Cómo acrecienta Allah la provisión a quien quiere de Sus siervos o la restringe!
082_01	De no haber sido porque Allah nos agració nos habría tragado la tierra. ¡Qué cierto es que los incrédulos no cosechan éxito!
083_00	Esa es la Morada de la Última Vida que concedemos a quienes no quieren ser altivos en la tierra ni corromper.Y el buen fin es para los que tienen temor (de Allah).
084_00	Quien venga con buenas acciones tendrá algo mejor que ellas, y quien venga con malas acciones... Los que lleven a cabo las malas acciones no serán recompensados sino por lo que hicieron.
085_00	Es cierto que Aquel que te ha mandado el Corán te hará volver a un lugar de regreso*. Di: Mi Señor sabe mejor quién viene con la guía y quién está en un claro extravío.
086_00	No esperabas que te fuera revelado el Libro; no es sino una misericordia de tu Señor, así pues no seas una ayuda para los que se niegan a creer.
087_00	Y que no te aparten de los signos de Allah una vez que se te han hecho descender, invoca a tu Señor y no seas de los que Le asocian.
088_00	Y no invoques a otro dios junto a Allah. No hay dios sino Él, todo perecerá excepto Su faz. Suyo es el juicio y a Él habéis de regresar.
