001_00	நிச்சயமானது.
031_00	"பின், அவனை நரகத்தில் தள்ளுங்கள்.
032_00	"பின்னர், எழுபது முழ நீளமுள்ள சங்கிலியால் அவனைக் கட்டுங்கள்" (என்று உத்தரவிடப்படும்).
033_00	"நிச்சயமாக அவன் மகத்துவமிக்க அல்லாஹ்வின் மீது ஈமான் கொள்ளாதிருந்தான்."
034_00	"அன்றியும், அவன் ஏழைகளுக்கு(த் தானும் உணவளிக்கவில்லை, பிறரையும்) உணவளிக்கத் தூண்டவில்லை."
035_00	"எனவே, அவனுக்கு இன்றைய தினம் இங்கே (அனுதாபப்படும்) எந்த நண்பனும் இல்லை."
036_00	"சீழ் நீரைத் தவிர, அவனுக்கு வேறு எந்த உணவுமில்லை."
037_00	"குற்றவாளிகளைத் தவிர, வேறு எவரும் அதைப் புசியார்."
038_00	ஆகவே, நீங்கள் பார்ப்பவற்றின் மீதும் சத்தியம் செய்கிறேன்.
039_00	நீங்கள் பார்க்காதவற்றின் மீதும், (சத்தியம் செய்கிறேன்.)
040_00	நிச்சயமாக, இது (நாம் அருளியவாறு ஓதி வரும்) கண்ணியமிக்க தூதரின் சொல்லாகும்.
041_00	இது ஒரு கவிஞனின் சொல்லன்று (எனினும்) நீங்கள் மிகவும் சொற்பமாகவே நம்புகிறீர்கள்.
042_00	(இது) ஒரு குறிகாரனின் சொல்லுமன்று (எனினும்) நீங்கள் சொற்பமாகவே (இதை நினைந்து) நல்லறிவு பெறுகிறீர்கள்.
043_00	அகிலத்தாருக்கெல்லாம் இறைவனிடமிருந்து (இது) இறக்கியருளப்பட்டதாகும்.
044_00	அன்றியும், நம்மீது சொற்களில் சிலவற்றை இட்டுக் கட்டிக் கூறியிருப்பாரானால் -
045_00	அவருடைய வலக்கையை நாம் பற்றிப் பிடித்துக் கொண்டு-
046_00	பின்னர், அவருடைய நாடி நரம்பை நாம் தரித்திருப்போம்.
047_00	அன்றியும், உங்களில் எவரும் (நாம்) அ(வ்வாறு செய்வ)தைத் தடுப்பவர்களில்லை.
048_00	ஆகவே, நிச்சயமாக அது (குர்ஆன்) பயபக்தியுடையவர்களுக்கு நல்லுபதேசமாகும்.
049_00	ஆயினும், (அதைப்) பொய்ப்பிப்பவர்களும் உங்களில் இருக்கின்றார்கள் என்பதை நிச்சயமாக நாம் அறிவோம்.
050_00	அன்றியும், நிச்சயமாக அது காஃபிர்களுக்கு கைசேதமாக இருக்கிறது.
051_00	மேலும், அது நிச்சயமாக உறுதியான உண்மையாகும்.
052_00	ஆகவே, மகத்தான உம்முடைய இறைவனின் திருப்பெயரைக் கொண்டு (துதி செய்து) தஸ்பீஹு செய்வீராக.
