001_00	Waarlijk, de gelovigen slagen.
023_00	En voorzeker, Wij hebben Nôeh tot zijn volk gezonden. Toen zei hij: "O mijn volk, aanbidt Allah, er is geen andere god voor jullie dan Hij. Waarom vrezen jullie (Allah) niet?"
024_00	Toen zeiden de vooraanstanden, die niet geloofden, van zijn volk: "Deze (man) is slechts een mens zoals jullie. Hij wenst uit te blinken boven jullie.
024_01	En als Allah het gewild had, zou Hij Engelen hebben gestuurd. Wij hebben hierover van onze voorouders nog nooit gehoord.
025_00	Hij is slechts een man die bezeten is, wacht daarom op hem tot een bepaald moment."
026_00	Hij (Nôeh) zei: "O mijn Heer, help mij vanwege wat zij loochenen."
027_00	Toen openbaarden Wij aan hem: "Bouw onder Ons toezicht en (volgens) Onze aanwijzing een schip. En als Ons bevel komt en de oven overkookt, ga dan aan boord, met van ieder (dier) twee, paarsgewijs, en jouw familie, behalve degene van hen tegen wie het Woord (van bestraffing) er eerder was.
027_01	En spreek Mij niet aan over degenen die onrecht pleegden. Voorwaar, zij zullen verdronken worden.
028_00	Dus wanneer jij en de mensen met jou aan boord van het schip zullen gaan, zeg dan: "Alle lof zij Allah, Die ons gered heeft van het onrechtvaardige volk."
029_00	En zeg: "O mijn Heer, plaats mij op een gezegende plaats. En U bent het die de beste plaatsen geeft."
030_00	Voorwar, daarin zijn zeker Tekenen en Wij hebben hen zeker beproefd.
031_00	Vervolgens brengen Wij na hen een andere generatie voort.
032_00	En Wij stuurden hun een Boodschapper van onder hen (die zei:) "Aanbidt Allah. Er is geen god voor jullie dan Hem, waarom vrezen jullie (Allah) niet?"
033_00	En de vooraanstanden, die niet geloofden, van zijn volk en die de ontmoeting in het Hiernamaals loochenden en die Wij de weelde van het we
033_01	reldse leven gaven, zeiden: "Deze (man) is slechts een mens zoals jullie, hij eet van wat jullie eten en hij drinkt van wat jullie drinken.
034_00	En als jullie rnensen volgen die zoals jullie zijn: voorwaar, dan behoren jullie zeker tot de verliezers.
035_00	Belooft hij jullie dat wanneer jullie dood zijn en tot stof en beenderen zijn geworden, dat jullie dan opgewekt worden?
036_00	Ver, ver weg is wat aan jullie beloofd is.
037_00	Ons leven is slechts op de wereld, wij gaan dood en wij leven en wij zullen niet opgewekt worden.
038_00	Hij is slechts een man die leugens over Allah heeft vèrzonnen. En Wij geloven hem niet."
039_00	Hij (Hôcd) zei: "O mijn Heer, help mij tegen wat zij loochenen."
040_00	Hij (Allah) zei: "Binnenkort zullen zij zeker spijt krijgen."
041_00	Terecht trof de bliksemslag hen toen, en Wij maakten hen als schuim. Ten onder gaat het onrechtvaardige volk!
042_00	Vervolgens brachten Wij na hen andere generaties voort.
043_00	Geen gemeenschap is in staat om haar vastgestelde tijdstip te vervroegen of uit te stellen.
044_00	Vervolgens stuurden Wij Onze Boodschappers, elkaar opvolgend. Telkens wanneer hun Boodschapper naar een gemeenschap kwam, loochenden zij hem.
044_01	Toen deden Wij hen elkaar opvolgen (in de ondcrgang) en Wij maakten hen tot onderwerp van verhalen. Ten onder gaat het volk dat niet gelooft!
045_00	Daarna zonden Wij Môesa en zijn broeder Hârôen met Onze Tekenen en een duidelijk Bewijs.
046_00	Naar Fir`aun en zijn vooraanstaanden. En zij waren hoogmoedig en zij waren een hooghartig volk.
047_00	En zij zeiden: "Zouden wij die twee mensen, die zijn zoals wij, geloven, terwijl hun volk voor ons dienaren is?"
048_00	Daarom loochenden zij hen beiden en behoorden toen tot de vernietigden.
049_00	En voorzeker, wij hebben aan Môesa de Schrift (de Taurât) gegeven. Hopelijk zullen zij Leiding volgen.
050_00	En Wij maakten de zoon van Maryam en zijn moeder tot een Teken en Wij gaven hun een onderkomen op een hoogplegen plaats, bewoonbaar met stromend water.
051_00	O Boodschappers, eet van de goede zaken en verricht goede daden. Voorwaar, Ik ben Alwetend over wat jullie doen.
052_00	En voorwaar, deze godsdienst (de Islam) is jullie godsdienst, de enigste. En Ik ben jullie Heer, vreest Mij daarom.
053_00	Toen raakten zij onderling verdeeld in verschilende groepen over hun zaak (van hun godsdienst). Elke groep was blij met wat zij hadden.
054_00	Laat ben daarom in hun dwaling tot een bepaald tijdstip.
055_00	Denken zij dat omdat Wij hen rijkdom en kinderen gegeven hebben.
056_00	Wij Om voor hen haasten in (het schenken van) de goede zaken? Nee, maar zij beseffen het niet.
057_00	Voorwaar, degenen van hen die bedachtzaam zijn vanwege hun ontzag voor Allah.
058_00	En degenen die in de Verzen van hun Heer geloven.
059_00	En degenen die hun Heer geen deelgenoten toekennen.
060_00	En degenen die hun giften gaven terwijl hun harten vol ontzag zijn omdat zij tot hun Heer zullen terugkeren.
061_00	Zij zijn degenen die zich haasten om goede daden te verrichten en zkj zijn daarbij de eersten.
062_00	Wij belasten niemand dan volgens zijn vermogen en Wij hebben een boek dat volgens de Waarheid spreekt. En zij worden niet onrechtvaardig behandeld.
063_00	Maar hun harten verkeren hierover in dwaling. Zij hebben daarnaast (slechte) werken die zij verrichten.
064_00	Totdat, wanneer Wij degenen onder hen die in weelde leven met de bestraffing treffen; zij (om liulp) schreeuwen.
065_00	Schreeuw die Dag niet (om hulp): voorwaar, er zal jullie geen hulp van Ons verleend worden.
066_00	Waarlijk, Mijn Verzen zijn al aan jullie voorgedragen, maar jullie keerden je op jullie hielen om.
067_00	Hoogmoedig tegen over hem (de Koran), kletsend in de nacht: jullie verlieten hem.
068_00	Denken zij niet na over het Woord (de Koran)? Of is er iets tot hen gekomen dat niet eerder tot hun voorouders gekomen was?
069_00	Of erkennen zij hun Boodschapper niet? Zodat zij het verwerpen?
070_00	Of zeggen zij., "Hij (Moehammad) is bezeten." Integendeel, hij kwam tot hm met de Waarheid, maar de meesten van hen haten de Waarheid.
071_00	Als de Waarheid hun begeerten zou volgen zouden de hemelen en de ard en alles wat er op hen is ten onder gaan. Wij hebben hun echter hun Eer (de Koran) gegeven, maar zij wenden zich van hun Eer af.
072_00	Of vraag jij (O Moehammad) een beloning van hen? De beloning van jouw Heer is beter, want Hij is de Beste van de Voorzieners,
073_00	Voorwaar, jij roept hen op tot een Recht Pad.
074_00	En voorwaar, degenen die niet geloven in het Hiernamaals zijn zeker van het Rechte Pad afgeweken.
075_00	En als Wij hen zouden begenadigen en Wij zouden opheffen wat er aan tegenspoed bij hen is: dan zouden zij blijven doorgaan met hun dwalingen.
076_00	En voorzeker, Wij hebben hen met de bestraffing getroffen, toch werden zij niet ootmoedig tegenover hun Heer en zij werden niet nederig.
077_00	Totdat, wanneer Wij voor hen de deur van een zware bestraffing openden, zij in wanhoop verkeerden.
078_00	En Hij is Degene Die voor jullie het gehoor en gezichtsvermogen en de harten geschapen heeft. Weinig dankbaarheid tonen jullie!
079_00	En Hij is Degene Die juuie deed groeien op de aarde en tot Hem worden jullie verzameld.
080_00	En Hij is Degene Die doet leven en doet sterven. En aan Hem behoort het afwissden van de dag en de nacht Begrijpen jullie dan niet?
081_00	Integendeel, zij zeggen hetzelfde als de vroegeren zeiden.
082_00	Zij zeiden: "Wanneer wij dood zijn en tot aarde en beenderen geworden zijn, zullen wij dan zeker worden opgewckt?
083_00	Voorzeker, dit werd vroeger aan ons en onze vaderen beloofd: dit zijn slechts fabels van de vroegeren."
084_00	Zeg: "Aan wie behoort de aarde en alles wat zich daarop bevindt, als jullie het weten?"
085_00	Zij zullen zeggen: "Aan Allah." Zeg: "Waarom laten jullie je dan niet vermanen?"
086_00	Zeg: "Wie is de Heer van de zeven hemelen en de Heer van de Geweldige Troon?
087_00	Zij zullen zeggen: "Aan Allah." Zeg: "Waarom vrezen jullie (Allah) dan niet?"
088_00	Zeg: "In Wiens handen is de heerschappij over alles? En Hij beschermt en Hij wordt niet beschermt, als jullie het weten."
089_00	Zij zullen zeggen: "Aan Allah." Zeg: "Waarom zijn jullie dan misleid?"
090_00	Maar Wij hebben de Waarheid gegeven, zij zijn zeker leugenaars.
091_00	Allah heeft zich geen kind genomen en er is geen god naast Hem!
091_01	Dan zou iedere god weggaan met wat hij schiep en zouden zij elkaar overweldigen. Heilig is Allah boven wat zij (Hem) toeschrijven.
092_00	De Kenner van het onwaarneembare en het waarneembare: verheven is Hij boven wat zij (Hem) toekennen.
093_00	Zeg: "Mijn Heer, indien U mij zou laten zien wat hun aangezegd is.
094_00	Mijn Heer, breng mij niet onder het onrechtvaardige volk!"
095_00	En voorwaar, Wij zijn zeker in staat om jou te laten zien wat Wij hun toezeggen.
096_00	Weer het slechte af met het beste. Wij weten het beste wat zij toeschrijven.
097_00	En zeg: "Mijn Heer, ik zoek mijn toevlucht tot U tegen de influisteringen van de Satans.
098_00	En ik zoek mijn toevlucht tot U zodat zij niet bij mij komen."
099_00	Totdat, wanneer de dood tot een van hen komt, hij zal zeggen: "O mijn Heer, laat mij terugkeren.
100_00	Hopelijk kan ik goede werken verrichten voor wat ik nagelaten heb." Zeker niet! Voorwaar, dit zijn slechts woorden die hij spreekt en voor hen is een scheiding tot de Dag waarop zij opgewekt worden.
101_00	Wanneer er op de bazuin geblazen wordt, op die Dag is er geen verwantschap tussen hen en zij kunnen elkaar geen vragen stellen.
102_00	Degenen wiens weegschalen zwaar wegen: Zij zijn degenen die de welslagenden zijn.
103_00	Degene wiens weegschalen licht wegen: zij zijn degenen die zichzelf verloren hebben, zij zullen in de Hel eeuwig levenden zijn.
104_00	Het Vuur verbrandt hun gezichten terwijl zij dawin venminkt worden.
105_00	Zijn Mijn Verzen dan niet aan jullie voorgedragen? Toen plachten jullie ze te loochenen.
106_00	Zij zelden: "Onze Heer, wij zijn overwonnen door ons ongeluk en wij waren een dwalend volk.
107_00	Onze Heer, haal ons hieruit! Als wij het herhalen: voorwaar, dan zijn wij onrechtvaardigen."
108_00	Hij zei: "Blijft daarin en lijdt. En spreekt niet tot Mij."
109_00	Voorwaar, er is een groep onder Mijn dienaren die zegt: "Onze Heer, wij geloofden, vergeef ons daarom en schenk ons Barmhartigheid en U bent de Beste der Bamhartigen."
110_00	Toen maakten jullie hen tot een onderwerp van bespotting, totdat jullie vergaten Mij te gedenken. En jullie plachten ben uit te lachen.
111_00	Voorwaar, Ik gaf hun op die Dag een beloning omdat zij geduldig waren: en voorwaar, zij zijn de winnaars.
112_00	Hij (Allah) zei: "Hoeveel jaren verbleven jullie op de aarde?"
113_00	Zij zeiden: "Wij verbleven daar een dag of een gedeelte van een dag, vraag het aan de rekenaars."
114_00	Hij (Allah) zei: "Jullie verbleven er maar kort, als jullie het weten.
115_00	Dachten jullie dat Wij jullie zo maar geschapen hebben? En dat jullie niet tot Ons terugkeren?"
116_00	Verheven is Allah, de Ware Koning er is geen god dan Hij, Heer van de Edele Troon.
117_00	En wie een andere god aanroept naast Allah, waarvoor hij geen bewijs heeft: voorwaar, zijn afrekening is bij zijn Heer. Voorwaar, de ongelovigen zullen niet welslagen.
118_00	En zeg: "Vergeef en begenadig, en U bent de Beste van de Bamhartigen."
