001_00	Elif Lam Mim Sad.
018_00	(Perëndia) tha: “Dil prej andej (xhennetit) i qortuar dhe i poshtëruar. Pa dyshim, me ty dhe me të gjithë ata që shkojnë pas teje, do ta mbushi xhehennemin!”
019_00	E ti o Adem! Bano ti dhe bashkëshortja jote në xhennet dhe hani ç’të dëshironi, por mos iu afroni kësaj peme se bëheni zullumqarë!”
020_00	E, djalli iu përshpëriti, për t’ju zbuluar pjesët e turpshme të mbuluara të trupit të tyre dhe (djalli) tha: “Zoti juaj
020_01	ju ka ndaluar (afrimin e këtij druri) vetëm për atë që të mos bëheni engjëj ose mos të mbeteni përherë (në xhennet)”.
021_00	Dhe ai (djalli) iu betua atyre (duke thënë): “Unë jam për ju, me të vërtetë, këshilltar i sinqertë!”
022_00	Dhe i mashtroi me dinakërinë e tij. Pasi që e shijuan (frutin) e drurit, iu zbuluan vendet e turpshme atyre dhe nisën të mbulohen me gjethet e xhennetit.
022_01	E, ata i thirri Zoti i tyre: “A nuk ju kam ndaluar atë? (frutin e drurit); dhe, a nuk ju kam thënë: “Se, me të vërtetë, djalli është armiku juaj i hapët?”
023_00	Ata thanë: “O Zoti ynë! Na vetes i kemi bërë dëm; e nëse Ti nuk na falë dhe nuk na mëshiron, na do të jemi nga ata që janë të humbur”.
024_00	(Perëndia) tha: “Zbritni! Ju, njëri-tjetrit jeni armik. Në Tokë do të banoni dhe do të jetoni deri në një kohë”.
025_00	(Perëndia) tha: “Në të do të jetoni, në të do të vdisni dhe prej saj do të dilni (ringjalleni)”.
026_00	O bijtë e Ademit, Na ju dërguam rrobet që t’jua mbulojnë vendet e turpshme, si edhe rrobet luksoze; por, rrobet e virtyteve janë më të mirat.
026_01	– Këto janë disa argumente të Perëndisë për t’i kujtuar ju (mirësitë e Perëndisë).
027_00	O bijtë e Ademit, le të mos u mashtrojë kurrsesi djalli, ashtu si i nxori prindërit tuaj nga xhenneti (meqë i mashtroi), duke u zhveshur rrobat për t’ju dukur vendet e turpshme të tyre.
027_01	Ai (djalli) dhe ushtria e tij ju sheh, prej nga ju nuk i shihni ata. Na i kemi bërë djajtë ndihmës të atyre që nuk besojnë.
028_00	E kur të punojnë vepër të shëmtuar, thonë: “Na i kemi gjetur prindërit tonë në to; por edhe Perëndia na ka urdhëruar me këte”.
028_01	Thuaj: “Perëndia nuk urdhëron të punohen vepra të shëmtuara! Përse flisni për Perëndinë atë që nuk e dini?”
029_00	Thuaj: “Zoti im urdhëron – drejtësi. Dhe drejtohuni vetëm Atij, kurdo që bëni lutje, dhe lutjuni sinqerisht Atij, duke i bërë përulje! Ashtu siç ju ka krijuar prej asgjëje, ashtu do t’ju ringjallë.
030_00	Një pjesë i ka udhëzuar në rrugë të drejtë, kurse pjesa tjetër e ka merituar humbjen. Ata e kanë bërë djallin mik, përpos Perëndisë, dhe mendojnë se janë në rrugë të drejtë.
031_00	O bijtë e Ademit, vishuni përshtatshëm kurdo që të luteni! Dhe hani e pini, por mos e teproni; se Ai (Perëndia) nuk i do ata që e teprojnë.
032_00	Thuaj: “Kush i ka penguar stolitë e Perëndisë, të cilat, Ai i ka krijuar për robërit e vet, dhe ushqimet e këndshme?” Thuaj: “Ato janë për besimtarë në këtë botë (dhe për të tjerët); e, në botën tjetër, vetëm për besimtarë.
032_01	Që, kështu, Na ua shpjegojmë argumentet njerëzve që dijnë.
033_00	Thuaj: “Zoti im i ka ndaluar vetëm punët e këqia, - qofshin të hapta ose të fshehta dhe mëkatet, shtypjen (dhunimin) pa të drejtë,
033_01	të bëmurit shok Perëndisë, për të cilën nuk ka kurrfarë argumenti, dhe ka ndaluar të flisni për Perëndinë atë që nuk e dini.
034_00	Çdo popull e ka fundin e vet, dhe kur t’i vijë koha e fundit, nuk mund të shtyhet as të shpejtohet, kurrsesi.
035_00	O bijtë e Ademit, nëse nga mesi juaj vijnë pejgamberë që ju shpjegojnë dispozitat e Mia, atëhrë, ata që i frikësohen Perëndisë dhe punojnë vepra të mira, nuk ka frikë as pikëllim për ata.
036_00	Kurse ata që i mohojnë argumentet e Mia, dhe sillen me mendjemadhësi ndaj tyre, ata do të jenë banorë të zjarrit, në të do të qëndrojnë përgjithmonë.
037_00	Kush është më zullumqarë se ai që trillon gënjeshtra kundër Perëndisë ose që mohon argumente të Tij?
037_01	Atyre do t’u jepet e tërë ajo që është shënuar (në Levhi Mahfudh). E, kur t’u vijnë të dërguarit Tonë (engjëjt), për t’ua marrë shpirtin, do t’u thonë (engjëjt): “Ku janë ata, të cilët ju i adhuroni, përveç Perëndisë”?
037_02	Ata thonë: “Humbën prej nesh”. Kështu ata dëshmojnë kundër vetes, që kanë qenë mohues.
038_00	(Perëndia) u thotë: “Hyni në zjarr me popujt – xhindët dhe njerëzit – të cilët kanë qenë para jush.
038_01	Dhe kurdo që një popull hyn në zjarr, e mallkon shokun tjetër. E, kur të tubohen të gjthë në të, atëherë ai i fundit u thotë atyre të parëve: “O Zoti ynë, këta na kanë sjellë në humbje, epju dënimin e dyfishtë të zjarrit!”
038_02	(Perëndia) u thotë: “Për çdonjërin (nga ju) ka dënim të dyfishtë, por ju nuk e dini”.
039_00	U thonë të parët atyre të fundit: “Ju nuk keni kurrfarë përparësie mbi ne, prandaj shijoni dënimin për atë që keni punuar.
040_00	me të vërtetë, ata që argumentet Tona i konsiderojnë gënjeshtra e të cilët, janë sjellë me mendjemadhësi ndaj atyre, nuk do t’u hapën dyert e qiellit, as që do të hyjnë në xhennet, derisa të mos kalojë devja nëpër birë të gjilpërës.
040_01	Kështu Na i ndëshkojmë mëkatarët.
041_00	Për ta janë përgatitur shtretër zjarri, e mbi ta do të ketë mbulesa zjarri. Kështu Na i ndëshkojmë zullumqarët.
042_00	Ata që besojnë dhe punojnë vepra të mira – Na nuk i ngarkojmë më tepër, veç sa kanë mundësi – ata janë banorë të xhennetit, në të cilin do të qëndrojnë përgjithmonë.
043_00	Na, nga krahërori i tyre do të zhgulim çdo urrejtje; e nën ta do të rrjedhin lumenjtë.
043_01	Dhe ata thonë: “Qoftë lavdëruar Perëndia që na udhëzoi në këtë. Ne nuk do të ishim udhëzuar sikur të mos na udhëzonte Perëndia. Me të vërtetë, të dërguarit e Zotit tonë, e kanë sjellë të vërtetën”.
043_02	Dhe ata do të thërrasin: “Ky është xhenneti që ju është dhënë në trashëgim, për atë që keni punuar”.
044_00	Dhe banorët e xhennetit u thonë banorëve të zjarrit: “Na e kemi gjetur të vërtetën, atë që na është premtuar nga Zoti ynë, e ju, a e keni gjetur
044_01	të vërtetën, atë që u ka premtuar Zoti juaj?” Ata thonë: “Po!” e, atëherë, një lajmëtar në mes tyre thërret: “Me të vërtetë, mallkimi i Perëndisë u takon zullumqarëve” ,
045_00	të cilët i pengojnë të tjerët nga rruga e Perëndisë dhe kërkojnë ta shtrembërojnë, e nuk besojnë në jetën tjetër!”
046_00	Në mes tyre është perdja (muri), e, në majë të tij, janë njerëzit, të cilët të gjithë i njohin sipas fizionomisë.
046_01	Dhe ata i thërrasin banorët e xhennetit: “Kënaqësia qoftë mbi ju!” Ata (njerëzit nga muri, ende) s’kanë hyrë në xhennet, por atë e dëshirojnë.
047_00	E kur t’ju kthehet shikimi kah banorët e zjarrit, thonë: “O Zoti ynë, mos na bënë (shoqëri) me zullumqarët!”
048_00	Ata që gjenden në mur, u thërrasin disa njerëzve, të cilët i njihnin sipas fizionomisë duke ju thënë: “Nuk ju ndihmoi as grumbullimi i pasurisë suaj, as ajo që u sollët me mendjemadhësi (ndaj të Vërtetës).
049_00	A janë këta, për të cilët ju u betuat se nuk do t’i arrijë mëshira e Perëndisë? (Atyre, të cilët janë nënçmuar, u thuhet): “Hyni në xhennet! Për ju s’ka frikë as pikëllim!”
050_00	Banorët e zjarrit do t’u thonë banorëve të xhennetit: “Derdhni pak ujë në ne, ose diçka nga ajo
050_01	që u ka dhuruar Perëndia!” – Ata thonë: “Me të vërtetë, Perëndia këto i ka ndaluar për mohuesit,
051_00	të cilët e kanë marrë fenë lojë dhe argëtim, dhe të cilët, i ka mashtruar jeta e kësaj bote.
051_01	Ne sot do t’i harrojmë ata, ashtu siç e kanë harruar ata takimin me këtë Ditë dhe për shkak se i kanë mohuar argumentet Tona.
052_00	Por, Ne u dëguam atyre Librin, të cilin ua kemi shpjeguar gjerësisht, si udhërrëfyes dhe mëshirë për njerëzit që besojnë.
053_00	A mos vallë ata presin realizimin konkret të tij?
053_01	E, kur t’u vijë ajo që e presin (premtimi dhe qortimi), do të thonë për atë që e kanë harruar më parë: “Pejgamberët e Zotit tonë na kanë sjellë të vërtetën! A ka ndonjë ndërmjetësues që angazhohet për ne, ose të kthehemi (në këtë jetë), që të punojmë ndryshe seç kemi punuar”.
053_02	Me të vërtetë, ata e kanë shkatërruar veten, e u zhdukën edhe ato që i trilluan.
054_00	Me të vërtetë, Zoti juaj është Perëndia, që i ka krijuar qiejt dhe tokën për gjashtë ditë (periudha të caktuara kohe), e pastaj e mbisundoi gjithësinë.
054_01	Ai me errësirën e natës e mbulon ditën, e cila e ndjek atë; e Dielli, Hëna dhe yjet i përulen urdhërit të Tij.
054_02	Vetëm ai krijon dhe sundon. I Lartësuar është Perëndia, Zoti i gjithësisë!
055_00	Lutjuni Zotit tuaj përulshëm dhe ngadalë! Ai, me të vërtetë, nuk i do ata që e kalojnë kufirin.
056_00	Dhe mos bëni çrregullime në tokë, kur në të është vënë rregulli, e Atij lutjuni duke iu friguar dhe shpresuar; se, me të vërtetë, mëshira e Perëndisë është afër bamirësve.
057_00	Ai i dërgon erërat si lajme të gëzuara para mëshirës së Tij; e kur erërat lëvizin
057_01	retë e rënda me shi, Na i çojmë ato kah vendi i vdekur, e lëshojmë shi në të dhe nxjerrim lloj-lloj frutash;
057_02	po kështu do t’i ngjallim të vdekurit, për të menduar ju!
058_00	Toka e mirë i jep frutet me lejën e Zotit të saj, e ajo tokë që është e ligë jep vetëm me mund. Që kështu, Na, në mënyrë të ndryshme ua shpjegojmë dokumentet Tona popullit mirënjohës.
059_00	Na me të vërtetë, ua kemi dërguar Nuhun popullit të tij, i cili u tha: “O populli im! Adhuronie Perëndinë, ju nuk keni zot tjetër përveç Tij! – Unë frikësohem për ju nga dënimi në Ditën e madhe!”
060_00	Paria e popullit të tij thanë: “Na me të vërtetë, të shohim ty në humbje të madhe”.
061_00	Ai tha: “O populli im! Unë nuk jam në kurrfarë humbje, por jam pejgamber nga ana e Zotit të gjithësisë;
062_00	ju sjell urdhërat e Zotit tim dhe ju dëshiroj çdo të mirë, unë di nga Perëndia atë që nuk e dini ju.
063_00	A po çuditeni që këshilla e Zotit tuaj, t’ju vijë nga një njeri i mesit tuaj, që t’ju tërheq vërejtjen, të bëheni besimtarë dhe për t’ju mëshiruar?
064_00	E ata e konsideruan atë gënjeshtar, andaj e shpëtuam atë dhe ata që ishin me të në barkë. Ndërsa, i fundosëm ata të cilët i konsideruan gënjeshtra argumentet Tona. Ata kanë qenë popull i verbër (injorant).
065_00	Ja dërguam (popullit) Adit, vëllaun e tyre – Hudin. Ai tha: “O populli im! Adhuronie Perëndinë, ju nuk keni zot tjetër përveç Tij. E, a nuk po i ruheni dënimit?”
066_00	Paria e popullit të tij, të cilët nuk besonin thanë: “Na, me të vërtetë, të konsiderojmë ty mendjelehtë dhe ne mendojmë se je gënjeshtar”.
067_00	Ai tha: “O populli im! Unë, me të vërtetë, nuk jam mendjelehtë, por jam profet i Zotit të gjithësisë”.
068_00	Unë ua sjell urdhërat e Zotit tim dhe unë jam këshilltar i sinqertë.
069_00	A po çuditeni që këshilla e Zotit tuaj, t’ju vijë ng një njeri i mesit tuaj, që t’ju tërheq vërejtjen. Kujtonie që Ai ju bëri zëvendës pas popullit të Nuhut dhe ju rriti me trup (dhe fuqi).
069_01	Kujtonie dhuntitë e Zotit për të qenë të lumtur!”
070_00	Ata thanë: “A mos na ke ardhur ti neve për ta adhuruar na vetëm një Perëndi, e t’i lëmë ato që i kanë adhuruar prindërit tanë? Na jep atë çka na premton, nëse je i vërtetë!”
071_00	Ai tha: “Në ju ka rënë dënimi dhe zemrimi i Zotit tuaj. A doni të polemizoni me mua për emrat (e putave tuaj), të cilët ua keni dhënë ju dhe prindërit tuaj, e për të cilat, Perëndia nuk u ka sjellë kurrfarë argumentesh.
071_01	Pra, pritni, se edhe unë po pres me ju!”
072_00	Dhe Ne e shpëtuam atë dhe ata që ishin me të, me mëshirën Tonë. E, i shfarosëm të gjithë ata, që i përgënjeshtruan argumentet Tona dhe nuk besuan.
073_00	Dhe (Na, ia dërguam popullit) themudit – vëllaun e tyre – Salihun. Ai tha: “O populli im!
073_01	Adhuronie Perëndinë, ju nuk keni zot tjetër përveç Tij. Madje, me të vërtetë, ju ka ardhur argument nga Zoti juaj: kjo deve e Perëndisë për ju, është një mrekulli. Lëreni të kullosë në tokën e Perëndisë dhe mos i bëni ndonjë të keqe, se ju pret ndëshkimi i ashpër!
074_00	Dhe kujtohuni, ai juve ju bëri zëvendës pas Adit dhe ju vendosi në Tokë; në rrafshinat e saj po ngritni pallate, e në kodrina po gëdhendni shtëpia.
074_01	Kujtoni të mirat e Perëndisë dhe mos bëni çrregullime në faqe të Dheut!”
075_00	E, paria e popullit të tij, ata që madhëroheshin, u thanë besimtarëve, të cilët i konsideronin për të dobët: “A dini ju që
075_01	Salihu është i dërguar nga Zoti i tij?” Ata thanë: “Na, me të vërtetë, besojmë në të gjitha ato, që i janë shpallë atij”.
076_00	Ata që madhëroheshin thanë: “Na nuk besojmë në atë që besoni ju”.
077_00	Dhe therrën devën e nuk e përfillën urdhërin e Perëndisë së tyre dhe thanë: “O Salih, sillna atë që na premton, nëse je pejgamberë!”
078_00	Dhe ata i goditi një tërmet katastrofal e mbetën të vdekur në shtëpitë e tyre.
079_00	Ai (Salihu), u largua prej tyre dhe tha: “O populli im! Unë ua kam sjellë urdhërin e Zotit tim dhe ju kam këshilluar, por ju nuk i doni ata që këshillojnë”.
080_00	Dhe kujtohuni, kur e dërguam Lutin, i cili i tha popullit të vet: “Pse po bëni aso mbrapshti, çfarë askush nuk ka bërë në botë?”
081_00	Ju, me pasion (epsh) i çaseni meshkujve në vend të femrave. Ju, me të vërtetë, jeni popull që e teproni me të këqia!”
082_00	E, përgjegjia e popullit të tij ishte: “Dëboni ata nga vendbanimi jua! Ata janë njerëz që pastrohen shumë”.
083_00	E, Na e kemi shpëtuar atë dhe familjen e tij, përveç gruas së tij. Ajo ishte nga ata që humbën. –
084_00	Dhe mbi ta lëshuam shi – rrëbesh (gurësh), e shiko si përfunduan mëkatarët!
085_00	Dhe Na (ia dërguam) popullit të Medjenit, vëllain e tyre – Shuajbin e ai tha: “O populli im! Adhuronie Perëndinë!
085_01	Ju nuk keni zot tjetër përveç Tij. Madje, me të vërtetë, ju ka ardhur argument nga Zoti juaj: Plotësoni matjen dhe peshimin e mos iu cungoni njerëzve sendet.
085_02	Mos bëni ngatërresa në Tokë, pasi në të është vënë rregull. Kjo është më mirë për ju, nëse jeni besimtarë!
086_00	Dhe mos rrini në pusi në çdo rrugë, duke frikësuar dhe duke penguar nga rruga e Perëndisë ata që besojnë në Te, duke kërkuar shtrembërimin e saj!
086_01	Dhe mendoni, kur ishit pak në numër, e Ai ju shumoi. Shikoni si përfundojnë ngatërrestarët!
087_00	Nëse, një grup i juaj beson në profetninë time, a një grup tjetër nuk beson, du
087_01	roni, derisa Perëndia të gjykojë në mes nesh, se Ai është gjykatësi më i mirë!”
088_00	E paria e popullit të tij, ata që madhëroheshin thanë: “O Shuajb, na, me të vërtetë, do të dëbojmë ty dhe ata që kanë besuar me ty, nga vendbanimi ynë, ose do të ktheheni ju në fenë tonë”.
088_01	(Shuajbi) tha: “A ngjanë, edhe pasi ta urrejmë atë!?
089_00	Na, me të vërtetë, do t’i bënim Perëndisë gënjeshtër, nëse kthehemi në fenë tuaj, pasi që Perëndia na shpëtoi nga ajo. Na nuk mund të kthehemi në të, përpos, nëse don Perëndia, Zoti ynë.
089_01	Zoti ynë me dijeninë e Tij i përfshinë të gjitha. Na, te Perëndia mbështetemi.
089_02	O Zoti ynë, gjyko Ti drejt në mes nesh dhe popullit tonë! Ti je gjykatësi më i mirë”.
090_00	E, paria e popullit të tij, ata që nuk kanë besuar, u thanë (atyre që kanë besuar): “Nëse shkoni pas Shuajbit, atëherë, me siguri, do të jeni të humbur”.
091_00	Dhe i goditi ata tërmeti katastrofal, e mbetën të vdekur në shtëpitë e tyre, të shtangur.
092_00	Ata që e kanë konsideruar Shuajbin gënjeshtar – (u zhdukën), thuajse nuk kanë ekzistuar kurrë; ata që e kanë konsideruar Shuajbin gënjeshtar, u zhdukën krejtësisht.
093_00	E, Shuajbi u largua prej tyre dhe tha: “O populli im, unë u kam sjellë urdhërat e Zotit tim dhe ju kam këshilluar. E pse të hidhërohem unë për popullin mohues?!”
094_00	Na nuk kemi dërguar asnjë pejgamber – në ndonjë vendbanim, e që të mos i kemi dënuar banorët e tij, me skamje dhe sëmundje (për shkak të padëgjueshmërisë), për t’u përulur.
095_00	Pastaj, ua shndërruam fatkeqësinë me lumturi, e kur u shtuan dhe u madhështuan, ata thanë: “Edhe prindërit tonë i patën goditur hidhërimet e gëzimet”. E atëherë i dënuam ata papritmas, e ata nuk e hetuan (ardhjen e dënimit).
096_00	Sikur banorët e vendbanimeve të besonin dhe të ruheshin prej mëkateve, Na do t’i vërshonim me dhunti nga qielli dhe toka, por ata gënjyen, prandaj, i dënuam për atë që vepruan.
097_00	A janë të sigurtë banorët e vendbanimeve, se nuk do t’i arrijë dënimi Ynë, natën, - duke qenë ata në gjumë?
098_00	A janë të sigurtë banorët e vendbanimeve, se nuk do t’i arrijë dënimi Ynë, ditën, - duke qenë në argëtim?
099_00	A janë të sigurtë ata nga dënimi i Perëndisë? Dënimit të Perëndisë, nuk i frikësohen vetëm ata që janë të humbur.
100_00	A nuk iu është e qartë atyre që e trashëguan tokën e banorëve të mëparshëm të saj, se, nëse Na dëshirojmë, - i dënojmë ata për mëkatet e tyre dhe u vëmë vulë në zemrat e tyre, e ata nuk e ndiejnë (nuk e pranojnë).
101_00	Për ato vendbanime, Na t’i kemi treguar ty disa ngjarje të tyre.
101_01	Me të vërtetë, u erdhën atyre pejgamberë që u sollën argumente të qarta, por ata nuk besuan atë që më parë e konsideronin gënjeshtër. Kështu, Perëndia ua vulosi zemrat mohuesve, -
102_00	e Na, te shumica e tyre nuk kemi gjetur plotësim të çfarëdo zotimi; por, në të vërtetë, shumicën e tyre e kemi gjetur ngatërrestarë.
103_00	Pastaj dërguam – pas tyre, Musain me argumentet Tona, te Faraoni dhe paria e tij. Ata i mohuan ato; pra, shiko si është përfundimi i ngatërrestarëve!
104_00	Dhe musai tha: “O Faraon, unë me të vërtetë, jam i dërguari i Zotit të gjithësisë!
105_00	Jam i obliguar që për Perëndinë të them vetëm të vërtetën. Madje, me të vërtetë, ju kam sjellë argumentin e qartë nga Zoti juaj; andaj, lëshoi të vijnë me mua bijtë e Israelit!”
106_00	(Faraoni) tha: “Nëse ke sjellë ndonjë argument, tregoje, nëse je nga ata që e thonë të vërtetën”.
107_00	E, (Musai) e lëshoi shkopin e vet, e ai u bë gjarpër i madh;
108_00	dhe e nxori dorën e tij – kur qe, për shikuesit dritë e bardhë.
109_00	Paria e popullit të Faraonit thanë: “Ky, me të vërtetë, qenka magjistar i shkathët,
110_00	i cili don t’ju dëbojë nga toka juaj, e çka propozoni ju?
111_00	ta thanë: “Mbani pak atë dhe vëllain e tij dhe dërgoni nëpër qytet që të tubojnë
112_00	e që të sjellin ty çdo magjistar të shkathët”.
113_00	Dhe erdhën magjistarët e Faraonit e thanë: “A me të vërtetë, do të shpërblehemi, nëse fitojmë?”
114_00	(Faraoni) tha: “Po, ju jeni nga më të afërmit e mi”.
115_00	(Magjistarët) thanë: “O Musa! Ose hedhe ti, ose të bëhemi hedhësa na”.
116_00	(Musai) tha: “Ju hedheni!” E kur e hedhën, i mahnitën sytë e njerëzve, i frikësuan ata dhe shfaqën një magji të madhe.
117_00	E, Na, ia shpallëm Musait: “Hedhe shkopin!” E, ai (shkopi) filloi t’i gëlltisë të gjitha ato që i trilluan ata.
118_00	Dhe, kështu, doli në shesh e vërteta dhe dështoi ajo që vepruan ata.
119_00	Këtu, ata u mundën dhe u kthyen të poshtëruar,
120_00	e magjistarët ranë në sexhde (përulje).
121_00	(Magjistarët) thanë: “Na besojmë në Zotin e gjithësisë, -
122_00	Zotin e Musait dhe të Harunit”.
123_00	Faraoni tha: “Ju e besuat para se t’ju lejoj unë, kjo, me të vërtetë, është mashtrim që e keni përgatitur në qytet, për t’i dëbuar banorët e tij. Do ta shihni ju!
124_00	Do t’ju këpusë duart dhe këmbët tërthorazi, e pastaj do t’ju vari të gjithëve.
125_00	Ata thanë: “Na, me të vërtetë, i kthehemi Zotit tonë!
126_00	Ti mund të na hakmerresh vetëm që i besuam argumentet e Zotit tonë – posa na erdhën. O Zoti ynë, na jep durim të madhe dhe bëna të vdesim muslimanë!”
127_00	Paria e popullit të Faraonit thanë: “A mos vallë do ta lësh Musain dhe popullin e tij që të bëjnë ngatërresa në tokë, dhe që të lë ty dhe zotrat tu?”
127_01	(Faraoni) u përgjegj: “Na do t’i mbysim djemtë e tyre e do t’i lëmë gjallë gratë (bijat) e tyre; e na, me të vërtetë, jemi sundues mbi ta”.
128_00	Musai i tha popullit të vet: “Kërkoni ndihmë nga Perëndia dhe duroni, se, me të vërtetë, toka është e Perëndisë. Ai ia jep trashëgim kujt të dojë prej robërve të Tij. E, përfundim i bukur do të jetë për ata që i druajnë Perëndisë”.
129_00	(Populli i Musait) thanë: “Na kemi qenë të torturuar para se të vish ti dhe pas ardhjes tënde”.
129_01	(Musai) tha: “Zoti juaj do ta zhdukë armikun tuaj, e juve do t’ju bëjë trashëgimtarë në Tokë, e t’ju vërejë se si do të veproni”.
130_00	Dhe na e kemi dërrmuar popullin e Faraonit me thatësi, me vite të thata dhe mungesë frutesh, për t’u këshilluar ata.
131_00	Kur t’u vijë ndonjë e mirë, ata thonë: “Këtë e kemi merituar, e kur t’i godasë ndonjë e keqe, për atë e fajsojnë Musain dhe ata që janë me të.
131_01	Por jo! Fatkeqësia e tyre është prej Perëndisë (për veprat e tyre), e shumica e tyre nuk e dinë!
132_00	Dhe ata kanë thënë: “Çfarëdo argumenti të na sjellësh ti, që të na magjepsish me të, na nuk jemi besimtarë tu”.
133_00	Prandaj, Na atyre ua kemi sjellë vërshimin, karkalecat, rriqërat, bretkosat dhe gjakun, - dokumente të qarta, por ata madhështoheshin dhe ishin popull keqbërës.
134_00	E kur i godiste dënimi, ata thonin: “O Musa, lutju Zotit tënd për ne, ashtu si të ka premtuar; e nëse
134_01	na liron nga kjo vuajtje, na, me të vërtetë, do të besojmë ty, dhe do t’i dërgojmë bijtë e Israelit me ty”.
135_00	Dhe pasi e liruam nga vuajtja – deri në afatin e arritur, - ata, menjëherë e shkelën premtimin.
136_00	Andaj, Na i denuam ata dhe i fundosëm në det, ngase i përgënjeshtruan dokumentet Tona dhe ishin të pakujdesshëm ndaj tyre,
137_00	kurse popullit të shtypur (besimtarëve të Israelit) ia dhamë në trashëgim viset e tokave lindore dhe perëndimore, të cilat i kemi bekuar, dhe u plotësua premtimi i bukur i Zotit tënd ndaj Israelitëve, meqë duruan.
137_01	Kurse, shkatërruam çdo gjë që bëri Faraoni dhe populli i tij dhe atë që ngritën ata.
138_00	Na i kaluam bijtë e Israelit përtej detit, ku hasën në popull që i luteshin putave të tyre; (Ata) thanë: “O Musa, bëna edhe neve një zot, ashtu si kanë ata zotëra”.
138_01	(Musai) tha: “Ju me të vërtetë, jeni populli injorant”.
139_00	Këta, me të vërtetë janë të humbur dhe veprat që i punojnë janë të pavlefshme.
140_00	(Musai) tha: “A mos vallë do t’ju kërkoj unë zot tjeër përveç Perëndisë, kur Ai ju ka lavdëruar mbi të tjerët”.
141_00	(Kujtohuni) kur Na ju shpëtuam nga populli i Faraonit, i cili ju torturoi pa masë: fëmijët meshkuj i mbytnin, kurse femrat tuaja u linin gjallë.
141_01	Kjo ka qenë sprovë e madhe për ju nga Zoti juaj.
142_00	Na, ia caktuam Musait tridhjetë netë (për adhurim) dhe ia plotësuam ato edhe me dhjetë të tjera, dhe kështu u plotësua koha e caktuar e Zotit të tij në dyzet ditë.
142_01	E, Musai, i tha vëllait të tij Harunit: “Më zëvendëso te populli im dhe mbaj rregull, e mos ndiq rrugën e ngatërrestarëve!”
143_00	Kur Musai erdhi në kohën e caktuar Tonën dhe Zoti foli me të, (Musai) tha: “O Zoti im, diftomu që të të shoh Ty!” (Zoti) tha: “Ti nuk mund të më shohësh, por shiko në atë mal, e nëse qetësohet në vend të vet, ti do të më shohësh”.
143_01	E kur erdhi në shprehje fuqia e Zotit të tij – në mal, e dërmoi atë në copa,
143_02	e Musait i ra të fikët (i pakur). E, kur erdhi në vete, tha: “Qofsh i lavdëruar Ti, kthehem te Ti dhe unë jam i pari i besimtarëve!”
144_00	(Zoti) tha: “O Musa, Unë të kam zgjedhur ty mbi të tjerët – me dërgimet e Mia dhe bisedimin Tim. Merre atë që ta kam dhënë dhe bëhu nga mirënjohësit!”
145_00	Na ia kemi shkruar në pllaka (Teurat) këshillën për çdo gjë dhe shpjegimin për gjithçka (që kanë nevojë): “Merre këtë, me seriozitet, dhe urdhëroje popullin tënd që të përvetësojë në mënyrën më të mirë.
145_01	Unë do t’ju tregojë shtëpinë e mëkatarëve.
